,date,종가,전일비,거래량
159,2020.01.02,"314,000","-3,500","139,496"
158,2020.01.03,"311,000","-3,000","165,030"
157,2020.01.06,"307,000","-4,000","138,154"
156,2020.01.07,"311,000","+4,000","133,788"
155,2020.01.08,"302,000","-9,000","225,471"
154,2020.01.09,"306,500","+4,500","198,621"
153,2020.01.10,"325,000","+18,500","610,981"
152,2020.01.13,"332,500","+7,500","359,435"
151,2020.01.14,"333,500","+1,000","425,340"
150,2020.01.15,"328,500","-5,000","231,766"
149,2020.01.16,"329,000",+500,"194,414"
148,2020.01.17,"333,000","+4,000","221,203"
147,2020.01.20,"354,000","+21,000","556,519"
146,2020.01.21,"344,500","-9,500","364,883"
145,2020.01.22,"351,500","+7,000","311,524"
144,2020.01.23,"348,500","-3,000","260,932"
143,2020.01.28,"336,500","-12,000","348,298"
142,2020.01.29,"335,000","-1,500","272,147"
141,2020.01.30,"343,500","+8,500","642,288"
140,2020.01.31,"337,500","-6,000","391,298"
139,2020.02.03,"350,000","+12,500","594,448"
138,2020.02.04,"379,500","+29,500","995,237"
137,2020.02.05,"382,000","+2,500","731,711"
136,2020.02.06,"382,000",0,"551,088"
135,2020.02.07,"386,500","+4,500","392,312"
134,2020.02.10,"387,000",+500,"291,904"
133,2020.02.11,"413,500","+26,500","983,089"
132,2020.02.12,"408,000","-5,500","463,511"
131,2020.02.13,"411,500","+3,500","448,366"
130,2020.02.14,"413,500","+2,000","301,730"
129,2020.02.17,"419,500","+6,000","514,355"
128,2020.02.18,"418,000","-1,500","366,288"
127,2020.02.19,"404,000","-14,000","766,920"
126,2020.02.20,"419,000","+15,000","482,732"
125,2020.02.21,"407,000","-12,000","400,924"
124,2020.02.24,"395,000","-12,000","463,848"
123,2020.02.25,"399,500","+4,500","478,820"
122,2020.02.26,"395,000","-4,500","334,971"
121,2020.02.27,"388,000","-7,000","345,104"
120,2020.02.28,"368,000","-20,000","643,995"
119,2020.03.02,"377,000","+9,000","514,325"
118,2020.03.03,"386,500","+9,500","547,921"
117,2020.03.04,"392,000","+5,500","478,790"
