,date,종가,전일비,거래량
160,2020.01.02,"66,700","+2,700","450,033"
159,2020.01.03,"67,000",+300,"213,770"
158,2020.01.06,"66,400",-600,"261,860"
157,2020.01.07,"65,800",-600,"209,726"
156,2020.01.08,"63,100","-2,700","312,351"
155,2020.01.09,"65,100","+2,000","191,189"
154,2020.01.10,"69,000","+3,900","1,292,254"
153,2020.01.13,"66,500","-2,500","364,387"
152,2020.01.14,"67,000",+500,"203,912"
151,2020.01.15,"66,200",-800,"123,516"
150,2020.01.16,"66,100",-100,"111,298"
149,2020.01.17,"66,200",+100,"120,827"
148,2020.01.20,"67,500","+1,300","306,994"
147,2020.01.21,"66,200","-1,300","204,569"
146,2020.01.22,"66,300",+100,"116,713"
145,2020.01.23,"66,200",-100,"136,342"
144,2020.01.28,"64,100","-2,100","209,174"
143,2020.01.29,"62,700","-1,400","178,531"
142,2020.01.30,"60,600","-2,100","220,656"
141,2020.01.31,"57,900","-2,700","211,945"
140,2020.02.03,"58,000",+100,"201,037"
139,2020.02.04,"59,800","+1,800","174,234"
138,2020.02.05,"66,800","+7,000","1,942,745"
137,2020.02.06,"69,900","+3,100","446,990"
136,2020.02.07,"69,900",0,"192,970"
135,2020.02.10,"68,300","-1,600","119,523"
134,2020.02.11,"69,900","+1,600","233,854"
133,2020.02.12,"70,700",+800,"211,853"
132,2020.02.13,"70,000",-700,"125,189"
131,2020.02.14,"68,900","-1,100","121,750"
130,2020.02.17,"68,000",-900,"109,570"
129,2020.02.18,"67,100",-900,"132,441"
128,2020.02.19,"66,900",-200,"89,157"
127,2020.02.20,"68,400","+1,500","99,589"
126,2020.02.21,"67,100","-1,300","106,594"
125,2020.02.24,"63,600","-3,500","137,040"
124,2020.02.25,"63,900",+300,"113,781"
123,2020.02.26,"61,600","-2,300","176,879"
122,2020.02.27,"60,100","-1,500","151,511"
121,2020.02.28,"57,500","-2,600","161,829"
120,2020.03.02,"60,000","+2,500","116,300"
119,2020.03.03,"61,000","+1,000","208,028"
118,2020.03.04,"62,100","+1,100","507,539"
117,2020.03.05,"61,900",-200,"113,849"
116,2020.03.06,"60,600","-1,300","97,242"
115,2020.03.09,"64,100","+3,500","431,940"
114,2020.03.10,"62,000","-2,100","219,821"
113,2020.03.11,"59,900","-2,100","245,078"
112,2020.03.12,"57,000","-2,900","159,829"
111,2020.03.13,"52,500","-4,500","218,260"
110,2020.03.16,"54,300","+1,800","382,899"
109,2020.03.17,"61,000","+6,700","550,501"
108,2020.03.18,"64,300","+3,300","1,223,796"
107,2020.03.19,"56,700","-7,600","1,574,817"
106,2020.03.20,"62,800","+6,100","424,212"
105,2020.03.23,"63,400",+600,"635,225"
104,2020.03.24,"64,800","+1,400","407,191"
103,2020.03.25,"64,800",0,"438,383"
102,2020.03.26,"71,600","+6,800","1,866,931"
101,2020.03.27,"76,800","+5,200","2,278,529"
100,2020.03.30,"87,300","+10,500","2,335,832"
99,2020.03.31,"84,600","-2,700","1,284,278"
98,2020.04.01,"81,500","-3,100","1,420,347"
97,2020.04.02,"80,500","-1,000","646,428"
96,2020.04.03,"81,000",+500,"1,472,231"
95,2020.04.06,"82,000","+1,000","603,724"
94,2020.04.07,"80,600","-1,400","563,684"
93,2020.04.08,"79,100","-1,500","689,508"
92,2020.04.09,"80,700","+1,600","498,809"
91,2020.04.10,"81,000",+300,"834,315"
90,2020.04.13,"83,900","+2,900","678,983"
89,2020.04.14,"82,400","-1,500","403,722"
88,2020.04.16,"80,200","-2,200","320,686"
87,2020.04.17,"79,300",-900,"373,849"
86,2020.04.20,"79,200",-100,"389,184"
85,2020.04.21,"77,700","-1,500","429,810"
84,2020.04.22,"78,900","+1,200","206,048"
83,2020.04.23,"77,800","-1,100","200,985"
82,2020.04.24,"77,300",-500,"211,254"
81,2020.04.27,"77,700",+400,"127,752"
80,2020.04.28,"78,600",+900,"292,745"
79,2020.04.29,"77,700",-900,"143,629"
78,2020.05.04,"75,500","-2,200","145,752"
77,2020.05.06,"77,700","+2,200","687,188"
76,2020.05.07,"78,800","+1,100","160,538"
75,2020.05.08,"79,500",+700,"207,315"
74,2020.05.11,"82,800","+3,300","552,022"
73,2020.05.12,"81,400","-1,400","271,162"
72,2020.05.13,"80,400","-1,000","218,144"
71,2020.05.14,"94,800","+14,400","3,158,161"
70,2020.05.15,"97,500","+2,700","5,524,203"
69,2020.05.18,"103,000","+5,500","2,254,397"
68,2020.05.19,"94,300","-8,700","2,199,858"
67,2020.05.20,"93,100","-1,200","716,582"
66,2020.05.21,"94,200","+1,100","513,669"
65,2020.05.22,"94,700",+500,"441,350"
64,2020.05.25,"93,700","-1,000","269,156"
63,2020.05.26,"92,800",-900,"345,354"
62,2020.05.27,"90,800","-2,000","274,233"
61,2020.05.28,"92,500","+1,700","320,343"
60,2020.05.29,"91,900",-600,"213,065"
59,2020.06.01,"91,100",-800,"250,892"
58,2020.06.02,"92,000",+900,"216,819"
57,2020.06.03,"92,700",+700,"500,607"
56,2020.06.04,"92,300",-400,"242,848"
55,2020.06.05,"94,300","+2,000","337,365"
54,2020.06.08,"94,300",0,"331,098"
53,2020.06.09,"98,500","+4,200","1,086,667"
52,2020.06.10,"98,300",-200,"613,579"
51,2020.06.11,"96,700","-1,600","440,912"
50,2020.06.12,"94,500","-2,200","447,640"
49,2020.06.15,"96,100","+1,600","2,327,992"
48,2020.06.16,"98,100","+2,000","639,428"
47,2020.06.17,"97,300",-800,"407,051"
46,2020.06.18,"98,000",+700,"287,344"
45,2020.06.19,"97,400",-600,"258,374"
44,2020.06.22,"100,500","+3,100","505,882"
43,2020.06.23,"98,400","-2,100","362,257"
42,2020.06.24,"102,500","+4,100","610,400"
41,2020.06.25,"114,000","+11,500","3,681,847"
40,2020.06.26,"111,000","-3,000","1,625,157"
39,2020.06.29,"134,500","+23,500","5,360,032"
38,2020.06.30,"128,500","-6,000","2,028,840"
37,2020.07.01,"135,500","+7,000","3,010,097"
36,2020.07.02,"122,500","-13,000","2,187,130"
35,2020.07.03,"126,500","+4,000","898,826"
34,2020.07.06,"132,000","+5,500","1,137,795"
33,2020.07.07,"128,000","-4,000","470,993"
32,2020.07.08,"140,500","+12,500","1,878,961"
31,2020.07.09,"142,000","+1,500","749,128"
30,2020.07.10,"142,000",0,"781,588"
29,2020.07.13,"140,500","-1,500","365,070"
28,2020.07.14,"155,500","+15,000","1,177,114"
27,2020.07.15,"150,000","-5,500","837,400"
