,date,종가,전일비,거래량
159,2020.01.02,"10,600",+200,"133,387"
158,2020.01.03,"11,300",+700,"1,321,091"
157,2020.01.06,"14,250","+2,950","6,745,565"
156,2020.01.07,"13,300",-950,"4,346,200"
155,2020.01.08,"14,000",+700,"8,238,662"
154,2020.01.09,"12,350","-1,650","3,075,882"
153,2020.01.10,"12,050",-300,"1,299,892"
152,2020.01.13,"11,750",-300,"822,059"
151,2020.01.14,"11,800",+50,"639,617"
150,2020.01.15,"11,500",-300,"445,088"
149,2020.01.16,"11,550",+50,"353,691"
148,2020.01.17,"11,700",+150,"550,180"
147,2020.01.20,"12,300",+600,"1,185,901"
146,2020.01.21,"11,900",-400,"983,132"
145,2020.01.22,"12,100",+200,"771,799"
144,2020.01.23,"12,250",+150,"461,816"
143,2020.01.28,"12,750",+500,"1,825,618"
142,2020.01.29,"12,050",-700,"866,144"
141,2020.01.30,"11,300",-750,"631,424"
140,2020.01.31,"10,750",-550,"431,102"
139,2020.02.03,"10,950",+200,"595,059"
138,2020.02.04,"11,150",+200,"220,410"
137,2020.02.05,"11,150",0,"160,886"
136,2020.02.06,"11,550",+400,"253,337"
135,2020.02.07,"11,400",-150,"246,454"
134,2020.02.10,"11,500",+100,"119,933"
133,2020.02.11,"11,450",-50,"157,214"
132,2020.02.12,"11,300",-150,"82,644"
131,2020.02.13,"11,200",-100,"131,671"
130,2020.02.14,"11,400",+200,"132,372"
129,2020.02.17,"11,200",-200,"120,592"
128,2020.02.18,"11,300",+100,"178,248"
127,2020.02.19,"11,750",+450,"371,672"
126,2020.02.20,"11,350",-400,"228,878"
125,2020.02.21,"10,900",-450,"280,813"
124,2020.02.24,"10,350",-550,"206,279"
123,2020.02.25,"11,200",+850,"281,947"
122,2020.02.26,"10,750",-450,"138,962"
121,2020.02.27,"10,500",-250,"137,845"
120,2020.02.28,"10,050",-450,"632,584"
119,2020.03.02,"10,300",+250,"151,903"
118,2020.03.03,"10,400",+100,"141,980"
117,2020.03.04,"10,750",+350,"187,225"
116,2020.03.05,"10,850",+100,"149,467"
115,2020.03.06,"10,850",0,"105,153"
114,2020.03.09,"10,150",-700,"231,699"
113,2020.03.10,"10,150",0,"224,946"
112,2020.03.11,"9,550",-600,"302,002"
111,2020.03.12,"8,820",-730,"295,010"
110,2020.03.13,"7,840",-980,"429,292"
109,2020.03.16,"7,840",0,"248,685"
108,2020.03.17,"7,800",-40,"159,029"
107,2020.03.18,"7,150",-650,"160,505"
106,2020.03.19,"5,350","-1,800","455,449"
105,2020.03.20,"5,940",+590,"431,699"
104,2020.03.23,"6,200",+260,"2,085,330"
103,2020.03.24,"6,840",+640,"489,610"
102,2020.03.25,"7,080",+240,"825,511"
101,2020.03.26,"7,300",+220,"667,113"
100,2020.03.27,"7,410",+110,"465,657"
99,2020.03.30,"8,200",+790,"411,493"
98,2020.03.31,"8,150",-50,"383,380"
97,2020.04.01,"8,320",+170,"496,231"
96,2020.04.02,"9,490","+1,170","1,001,890"
95,2020.04.03,"8,960",-530,"628,232"
94,2020.04.06,"11,600","+2,640","4,073,478"
93,2020.04.07,"10,200","-1,400","2,284,362"
92,2020.04.08,"9,880",-320,"683,771"
91,2020.04.09,"10,050",+170,"568,626"
90,2020.04.10,"9,710",-340,"412,355"
89,2020.04.13,"9,300",-410,"258,994"
88,2020.04.14,"9,550",+250,"184,864"
87,2020.04.16,"9,680",+130,"120,484"
86,2020.04.17,"9,790",+110,"172,131"
85,2020.04.20,"9,970",+180,"180,407"
84,2020.04.21,"9,750",-220,"316,857"
83,2020.04.22,"9,800",+50,"165,463"
82,2020.04.23,"9,930",+130,"207,844"
81,2020.04.24,"9,600",-330,"218,192"
80,2020.04.27,"9,950",+350,"131,998"
79,2020.04.28,"9,750",-200,"124,470"
78,2020.04.29,"9,740",-10,"108,120"
77,2020.05.04,"9,600",-140,"79,692"
76,2020.05.06,"9,800",+200,"89,973"
75,2020.05.07,"9,840",+40,"100,213"
74,2020.05.08,"9,970",+130,"189,624"
73,2020.05.11,"10,100",+130,"114,064"
72,2020.05.12,"10,300",+200,"198,619"
71,2020.05.13,"10,300",0,"208,094"
70,2020.05.14,"10,400",+100,"214,112"
69,2020.05.15,"10,650",+250,"405,738"
68,2020.05.18,"10,300",-350,"191,962"
67,2020.05.19,"10,300",0,"241,342"
66,2020.05.20,"10,450",+150,"241,244"
65,2020.05.21,"10,500",+50,"192,704"
64,2020.05.22,"10,200",-300,"239,070"
63,2020.05.25,"10,600",+400,"426,682"
62,2020.05.26,"10,600",0,"175,349"
61,2020.05.27,"10,450",-150,"194,807"
60,2020.05.28,"10,300",-150,"233,652"
59,2020.05.29,"10,300",0,"97,582"
58,2020.06.01,"10,400",+100,"160,291"
57,2020.06.02,"10,550",+150,"125,189"
56,2020.06.03,"10,400",-150,"156,458"
55,2020.06.04,"10,700",+300,"376,895"
54,2020.06.05,"10,850",+150,"247,460"
53,2020.06.08,"11,350",+500,"722,708"
52,2020.06.09,"11,200",-150,"305,051"
51,2020.06.10,"11,700",+500,"745,160"
50,2020.06.11,"11,150",-550,"792,291"
49,2020.06.12,"10,550",-600,"360,955"
48,2020.06.15,"13,000","+2,450","16,351,852"
47,2020.06.16,"13,100",+100,"8,749,347"
46,2020.06.17,"12,800",-300,"2,117,108"
45,2020.06.18,"13,600",+800,"10,067,758"
44,2020.06.19,"12,250","-1,350","1,587,402"
43,2020.06.22,"12,100",-150,"816,595"
42,2020.06.23,"11,800",-300,"709,227"
41,2020.06.24,"12,100",+300,"720,336"
40,2020.06.25,"11,900",-200,"435,656"
39,2020.06.26,"11,700",-200,"314,963"
38,2020.06.29,"11,150",-550,"488,621"
37,2020.06.30,"11,550",+400,"734,984"
36,2020.07.01,"11,300",-250,"643,736"
35,2020.07.02,"12,000",+700,"569,459"
34,2020.07.03,"12,000",0,"334,078"
33,2020.07.06,"12,050",+50,"1,124,325"
32,2020.07.07,"11,600",-450,"433,680"
31,2020.07.08,"11,500",-100,"230,508"
30,2020.07.09,"11,500",0,"217,579"
29,2020.07.10,"11,350",-150,"187,178"
28,2020.07.13,"11,500",+150,"164,602"
27,2020.07.14,"11,500",0,"315,339"
26,2020.07.15,"11,900",+400,"482,157"
25,2020.07.16,"11,450",-450,"211,305"
24,2020.07.17,"11,500",+50,"144,077"
23,2020.07.20,"11,650",+150,"210,787"
22,2020.07.21,"11,900",+250,"398,022"
21,2020.07.22,"12,200",+300,"345,796"
20,2020.07.23,"12,200",0,"1,026,115"
19,2020.07.24,"13,500","+1,300","8,493,720"
18,2020.07.27,"12,700",-800,"980,397"
17,2020.07.28,"12,400",-300,"594,014"
16,2020.07.29,"12,400",0,"336,806"
15,2020.07.30,"12,350",-50,"318,722"
14,2020.07.31,"12,400",+50,"679,100"
13,2020.08.03,"12,800",+400,"774,711"
12,2020.08.04,"12,950",+150,"671,276"
11,2020.08.05,"13,200",+250,"694,757"
10,2020.08.06,"12,650",-550,"725,276"
9,2020.08.07,"12,500",-150,"333,052"
8,2020.08.10,"12,650",+150,"312,482"
7,2020.08.11,"12,500",-150,"262,061"
6,2020.08.12,"12,600",+100,"514,916"
5,2020.08.13,"12,650",+50,"293,151"
4,2020.08.14,"12,300",-350,"295,467"
3,2020.08.18,"11,750",-550,"308,855"
2,2020.08.19,"11,900",+150,"208,450"
1,2020.08.20,"11,600",-300,"414,370"
0,2020.08.21,"11,350",-250,"204,647"
