,date,종가,전일비,거래량
159,2020.01.02,"2,555",+105,"423,251"
158,2020.01.03,"2,590",+35,"490,897"
157,2020.01.06,"2,535",-55,"683,199"
156,2020.01.07,"2,510",-25,"186,913"
155,2020.01.08,"2,270",-240,"821,350"
154,2020.01.09,"2,375",+105,"659,771"
153,2020.01.10,"2,450",+75,"285,107"
152,2020.01.13,"2,495",+45,"235,928"
151,2020.01.14,"2,505",+10,"236,508"
150,2020.01.15,"2,535",+30,"208,726"
149,2020.01.16,"2,560",+25,"664,298"
148,2020.01.17,"2,590",+30,"602,982"
147,2020.01.20,"2,855",+265,"8,232,904"
146,2020.01.21,"2,695",-160,"5,682,542"
145,2020.01.22,"3,145",+450,"29,425,925"
144,2020.01.23,"3,055",-90,"10,572,743"
143,2020.01.28,"3,495",+440,"20,137,056"
142,2020.01.29,"3,140",-355,"4,420,545"
141,2020.01.30,"2,910",-230,"3,497,333"
140,2020.01.31,"2,675",-235,"2,522,098"
139,2020.02.03,"2,710",+35,"6,344,262"
138,2020.02.04,"2,610",-100,"1,765,640"
137,2020.02.05,"2,565",-45,"1,475,128"
136,2020.02.06,"2,635",+70,"913,940"
135,2020.02.07,"2,755",+120,"6,959,187"
134,2020.02.10,"2,765",+10,"2,146,989"
133,2020.02.11,"2,720",-45,"848,206"
132,2020.02.12,"2,585",-135,"1,113,425"
131,2020.02.13,"2,605",+20,"659,822"
130,2020.02.14,"2,660",+55,"992,004"
129,2020.02.17,"2,550",-110,"765,388"
128,2020.02.18,"2,585",+35,"558,997"
127,2020.02.19,"2,665",+80,"1,579,690"
126,2020.02.20,"2,690",+25,"4,764,128"
125,2020.02.21,"2,770",+80,"3,476,720"
124,2020.02.24,"2,435",-335,"2,046,757"
123,2020.02.25,"2,470",+35,"888,832"
122,2020.02.26,"2,410",-60,"557,634"
121,2020.02.27,"2,460",+50,"6,571,186"
120,2020.02.28,"2,470",+10,"3,835,560"
119,2020.03.02,"2,395",-75,"785,317"
118,2020.03.03,"2,430",+35,"849,038"
117,2020.03.04,"2,585",+155,"6,986,850"
116,2020.03.05,"2,585",0,"1,870,168"
115,2020.03.06,"2,515",-70,"1,214,764"
114,2020.03.09,"2,435",-80,"2,541,256"
113,2020.03.10,"2,420",-15,"914,422"
112,2020.03.11,"2,310",-110,"772,393"
111,2020.03.12,"2,120",-190,"889,899"
110,2020.03.13,"1,930",-190,"1,275,875"
109,2020.03.16,"1,850",-80,"1,020,988"
108,2020.03.17,"1,835",-15,"661,751"
107,2020.03.18,"1,750",-85,"610,201"
106,2020.03.19,"1,525",-225,"979,895"
105,2020.03.20,"1,570",+45,"698,201"
104,2020.03.23,"1,450",-120,"961,312"
103,2020.03.24,"1,510",+60,"514,652"
102,2020.03.25,"1,610",+100,"755,360"
101,2020.03.26,"1,775",+165,"1,753,890"
100,2020.03.27,"1,750",-25,"1,132,611"
99,2020.03.30,"1,850",+100,"772,861"
98,2020.03.31,"2,025",+175,"1,667,393"
97,2020.04.01,"1,910",-115,"1,183,749"
96,2020.04.02,"1,955",+45,"848,119"
95,2020.04.03,"1,980",+25,"428,339"
94,2020.04.06,"2,335",+355,"6,614,504"
93,2020.04.07,"2,220",-115,"1,747,022"
92,2020.04.08,"2,190",-30,"1,259,193"
91,2020.04.09,"2,285",+95,"1,315,218"
90,2020.04.10,"2,240",-45,"1,052,672"
89,2020.04.13,"2,245",+5,"616,140"
88,2020.04.14,"2,290",+45,"2,124,628"
87,2020.04.16,"2,285",-5,"573,120"
86,2020.04.17,"2,310",+25,"456,819"
85,2020.04.20,"2,440",+130,"1,860,302"
84,2020.04.21,"2,325",-115,"1,791,619"
83,2020.04.22,"2,330",+5,"721,049"
82,2020.04.23,"2,395",+65,"819,609"
81,2020.04.24,"2,390",-5,"4,139,890"
80,2020.04.27,"2,435",+45,"1,339,653"
79,2020.04.28,"2,365",-70,"961,203"
78,2020.04.29,"2,410",+45,"1,267,164"
77,2020.05.04,"2,385",-25,"416,509"
76,2020.05.06,"2,415",+30,"752,197"
75,2020.05.07,"2,410",-5,"383,673"
74,2020.05.08,"2,450",+40,"712,409"
73,2020.05.11,"2,395",-55,"585,269"
72,2020.05.12,"2,315",-80,"623,959"
71,2020.05.13,"2,340",+25,"563,777"
70,2020.05.14,"2,380",+40,"420,642"
69,2020.05.15,"2,360",-20,"396,562"
68,2020.05.18,"2,365",+5,"362,613"
67,2020.05.19,"2,325",-40,"377,242"
66,2020.05.20,"2,355",+30,"297,191"
65,2020.05.21,"2,400",+45,"420,378"
64,2020.05.22,"2,350",-50,"1,195,283"
63,2020.05.25,"2,395",+45,"558,134"
62,2020.05.26,"2,425",+30,"416,487"
61,2020.05.27,"2,445",+20,"586,390"
60,2020.05.28,"2,410",-35,"2,498,412"
59,2020.05.29,"2,470",+60,"1,309,627"
58,2020.06.01,"2,510",+40,"1,163,568"
57,2020.06.02,"2,485",-25,"800,293"
56,2020.06.03,"2,425",-60,"751,961"
55,2020.06.04,"2,430",+5,"512,595"
54,2020.06.05,"2,555",+125,"2,316,277"
53,2020.06.08,"2,590",+35,"2,752,493"
52,2020.06.09,"2,600",+10,"1,287,487"
51,2020.06.10,"2,645",+45,"1,197,497"
50,2020.06.11,"2,560",-85,"1,653,611"
49,2020.06.12,"2,470",-90,"893,819"
48,2020.06.15,"2,200",-270,"1,205,552"
47,2020.06.16,"2,370",+170,"567,577"
46,2020.06.17,"2,410",+40,"2,898,885"
45,2020.06.18,"2,420",+10,"592,369"
44,2020.06.19,"2,525",+105,"852,925"
43,2020.06.22,"2,420",-105,"983,246"
42,2020.06.23,"2,395",-25,"445,885"
41,2020.06.24,"2,430",+35,"348,624"
40,2020.06.25,"2,375",-55,"406,492"
39,2020.06.26,"2,390",+15,"292,351"
38,2020.06.29,"2,295",-95,"412,002"
37,2020.06.30,"2,820",+525,"24,972,171"
36,2020.07.01,"2,695",-125,"28,725,615"
35,2020.07.02,"2,755",+60,"8,506,428"
34,2020.07.03,"2,620",-135,"2,405,615"
33,2020.07.06,"2,620",0,"1,664,502"
32,2020.07.07,"2,775",+155,"6,418,984"
31,2020.07.08,"2,785",+10,"2,730,885"
30,2020.07.09,"2,830",+45,"1,063,673"
29,2020.07.10,"2,715",-115,"1,033,330"
28,2020.07.13,"2,630",-85,"1,260,992"
27,2020.07.14,"2,715",+85,"1,623,784"
26,2020.07.15,"2,680",-35,"921,343"
25,2020.07.16,"2,675",-5,"642,989"
24,2020.07.17,"2,670",-5,"472,200"
23,2020.07.20,"2,765",+95,"5,212,618"
22,2020.07.21,"2,760",-5,"1,843,460"
21,2020.07.22,"2,740",-20,"1,013,840"
20,2020.07.23,"2,810",+70,"1,360,232"
19,2020.07.24,"3,400",+590,"34,825,287"
18,2020.07.27,"3,740",+340,"27,040,765"
17,2020.07.28,"3,300",-440,"7,051,629"
16,2020.07.29,"3,270",-30,"3,411,767"
15,2020.07.30,"3,285",+15,"3,410,779"
14,2020.07.31,"3,325",+40,"2,010,900"
13,2020.08.03,"3,685",+360,"16,754,396"
12,2020.08.04,"4,050",+365,"15,420,581"
11,2020.08.05,"3,915",-135,"3,290,668"
10,2020.08.06,"3,795",-120,"4,916,809"
9,2020.08.07,"3,685",-110,"2,028,223"
8,2020.08.10,"3,840",+155,"3,598,647"
7,2020.08.11,"3,820",-20,"2,125,044"
6,2020.08.12,"3,890",+70,"4,688,388"
5,2020.08.13,"3,855",-35,"1,748,053"
4,2020.08.14,"3,770",-85,"1,832,891"
3,2020.08.18,"3,690",-80,"1,596,279"
2,2020.08.19,"3,445",-245,"2,485,171"
1,2020.08.20,"3,445",0,"2,847,745"
0,2020.08.21,"3,470",+25,"1,064,577"
