,date,종가,전일비,거래량
0,2020.08.21,"15,650",0,"265,536"
1,2020.08.20,"15,650",-200,"1,132,880"
2,2020.08.19,"15,850",+650,"441,989"
3,2020.08.18,"15,200",-600,"683,487"
4,2020.08.14,"15,800",-350,"430,225"
5,2020.08.13,"16,150",+250,"420,769"
6,2020.08.12,"15,900",-500,"889,579"
7,2020.08.11,"16,400",+50,"475,744"
8,2020.08.10,"16,350",-500,"708,852"
9,2020.08.07,"16,850",-700,"774,351"
10,2020.08.06,"17,550",+150,"1,068,505"
11,2020.08.05,"17,400",0,"558,690"
12,2020.08.04,"17,400",+350,"674,120"
13,2020.08.03,"17,050",+750,"644,043"
14,2020.07.31,"16,300",+200,"422,404"
15,2020.07.30,"16,100",-400,"465,804"
16,2020.07.29,"16,500",0,"316,241"
17,2020.07.28,"16,500",-550,"621,036"
18,2020.07.27,"17,050",-850,"652,022"
19,2020.07.24,"17,900",+700,"1,461,453"
20,2020.07.23,"17,200",+350,"1,049,762"
21,2020.07.22,"16,850",-50,"778,473"
22,2020.07.21,"16,900",+800,"784,819"
23,2020.07.20,"16,100",+100,"268,919"
24,2020.07.17,"16,000",+100,"194,090"
25,2020.07.16,"15,900",-500,"402,447"
26,2020.07.15,"16,400",-150,"277,180"
27,2020.07.14,"16,550",-250,"778,808"
28,2020.07.13,"16,800","+1,050","720,105"
29,2020.07.10,"15,750",-150,"593,741"
30,2020.07.09,"15,900",-600,"650,224"
31,2020.07.08,"16,500",-350,"395,086"
32,2020.07.07,"16,850",-100,"306,907"
33,2020.07.06,"16,950",-550,"404,385"
34,2020.07.03,"17,500",+250,"317,401"
35,2020.07.02,"17,250",+100,"311,975"
36,2020.07.01,"17,150",+50,"698,260"
37,2020.06.30,"17,100",+500,"586,850"
38,2020.06.29,"16,600",-650,"476,665"
39,2020.06.26,"17,250",+350,"849,517"
40,2020.06.25,"16,900",+100,"1,278,209"
41,2020.06.24,"16,800",+350,"447,046"
42,2020.06.23,"16,450",-500,"480,482"
43,2020.06.22,"16,950",0,"327,093"
44,2020.06.19,"16,950",-300,"463,875"
45,2020.06.18,"17,250","-1,150","747,490"
46,2020.06.17,"18,400",-100,"604,090"
47,2020.06.16,"18,500","+2,100","1,411,510"
48,2020.06.15,"16,400","-1,350","936,011"
49,2020.06.12,"17,750",-550,"808,830"
50,2020.06.11,"18,300",-500,"838,707"
51,2020.06.10,"18,800","+1,100","1,787,246"
52,2020.06.09,"17,700",+150,"816,503"
53,2020.06.08,"17,550","-1,300","2,191,244"
54,2020.06.05,"18,850",+200,"565,238"
55,2020.06.04,"18,650",+50,"521,093"
56,2020.06.03,"18,600",-300,"507,383"
57,2020.06.02,"18,900",+50,"476,540"
58,2020.06.01,"18,850",+350,"421,070"
59,2020.05.29,"18,500",+300,"633,572"
60,2020.05.28,"18,200",-400,"817,339"
61,2020.05.27,"18,600",-200,"504,490"
62,2020.05.26,"18,800",-250,"604,597"
63,2020.05.25,"19,050",-350,"648,815"
64,2020.05.22,"19,400",-150,"967,422"
65,2020.05.21,"19,550",+50,"697,464"
66,2020.05.20,"19,500",-200,"541,153"
67,2020.05.19,"19,700",-350,"2,271,551"
68,2020.05.18,"20,050",-700,"947,463"
69,2020.05.15,"20,750","-1,350","2,184,380"
70,2020.05.14,"22,100","+1,200","2,031,681"
71,2020.05.13,"20,900",0,"1,480,289"
72,2020.05.12,"20,900",+850,"1,034,189"
73,2020.05.11,"20,050",-350,"764,469"
74,2020.05.08,"20,400",+600,"1,111,066"
75,2020.05.07,"19,800",0,"366,593"
76,2020.05.06,"19,800",-150,"635,370"
77,2020.05.04,"19,950",+350,"1,056,154"
78,2020.04.29,"19,600",-750,"918,888"
79,2020.04.28,"20,350",+150,"1,577,554"
80,2020.04.27,"20,200",+500,"1,346,689"
81,2020.04.24,"19,700",-850,"993,296"
82,2020.04.23,"20,550",+250,"1,002,359"
83,2020.04.22,"20,300",+150,"986,436"
84,2020.04.21,"20,150","-1,150","2,086,671"
85,2020.04.20,"21,300",-100,"1,973,581"
86,2020.04.17,"21,400",+600,"2,483,250"
87,2020.04.16,"20,800",-100,"2,105,044"
88,2020.04.14,"20,900",+700,"8,051,467"
89,2020.04.13,"20,200","-1,500","2,982,939"
90,2020.04.10,"21,700","-1,900","3,166,031"
