,date,종가,전일비,거래량
159,2020.01.02,"2,855",-35,"105,916"
158,2020.01.03,"2,790",-65,"113,970"
157,2020.01.06,"2,610",-180,"110,554"
156,2020.01.07,"2,650",+40,"98,062"
155,2020.01.08,"2,585",-65,"117,261"
154,2020.01.09,"2,685",+100,"81,873"
153,2020.01.10,"2,745",+60,"173,969"
152,2020.01.13,"2,745",0,"194,662"
151,2020.01.14,"2,745",0,"52,782"
150,2020.01.15,"2,680",-65,"68,779"
149,2020.01.16,"2,700",+20,"62,972"
148,2020.01.17,"2,700",0,"79,323"
147,2020.01.20,"2,650",-50,"96,484"
146,2020.01.21,"2,630",-20,"68,149"
145,2020.01.22,"2,615",-15,"56,147"
144,2020.01.23,"2,640",+25,"585,313"
143,2020.01.28,"2,480",-160,"249,862"
142,2020.01.29,"2,685",+205,"966,389"
141,2020.01.30,"2,550",-135,"394,297"
140,2020.01.31,"2,500",-50,"142,909"
139,2020.02.03,"2,510",+10,"235,327"
138,2020.02.04,"2,605",+95,"328,514"
137,2020.02.05,"2,560",-45,"66,114"
136,2020.02.06,"2,560",0,"63,589"
135,2020.02.07,"2,520",-40,"75,996"
134,2020.02.10,"2,560",+40,"85,171"
133,2020.02.11,"2,500",-60,"75,041"
132,2020.02.12,"2,510",+10,"207,210"
131,2020.02.13,"2,470",-40,"50,090"
130,2020.02.14,"2,490",+20,"79,360"
129,2020.02.17,"2,485",-5,"38,223"
128,2020.02.18,"2,480",-5,"59,231"
127,2020.02.19,"2,405",-75,"91,460"
126,2020.02.20,"2,335",-70,"196,227"
125,2020.02.21,"2,285",-50,"70,552"
124,2020.02.24,"2,185",-100,"740,157"
123,2020.02.25,"2,245",+60,"266,422"
122,2020.02.26,"2,170",-75,"90,677"
121,2020.02.27,"2,275",+105,"365,980"
120,2020.02.28,"2,200",-75,"235,935"
119,2020.03.02,"2,275",+75,"170,044"
118,2020.03.03,"2,365",+90,"112,256"
117,2020.03.04,"2,345",-20,"143,162"
116,2020.03.05,"2,450",+105,"170,553"
115,2020.03.06,"2,430",-20,"174,521"
114,2020.03.09,"2,310",-120,"168,146"
113,2020.03.10,"2,255",-55,"127,233"
112,2020.03.11,"2,135",-120,"99,953"
111,2020.03.12,"2,040",-95,"349,918"
110,2020.03.13,"1,800",-240,"423,107"
109,2020.03.16,"1,730",-70,"644,751"
108,2020.03.17,"1,620",-110,"282,176"
107,2020.03.18,"1,630",+10,"259,006"
106,2020.03.19,"1,395",-235,"669,052"
105,2020.03.20,"1,510",+115,"468,589"
104,2020.03.23,"1,345",-165,"492,151"
103,2020.03.24,"1,415",+70,"260,137"
102,2020.03.25,"1,600",+185,"368,042"
101,2020.03.26,"1,840",+240,"524,800"
100,2020.03.27,"1,900",+60,"461,730"
99,2020.03.30,"2,030",+130,"311,431"
98,2020.03.31,"2,150",+120,"289,527"
97,2020.04.01,"2,030",-120,"228,451"
96,2020.04.02,"1,970",-60,"274,623"
95,2020.04.03,"1,955",-15,"128,241"
94,2020.04.06,"2,095",+140,"298,739"
93,2020.04.07,"2,200",+105,"819,330"
92,2020.04.08,"2,255",+55,"199,066"
91,2020.04.09,"2,260",+5,"122,928"
90,2020.04.10,"2,320",+60,"187,493"
89,2020.04.13,"2,170",-150,"145,943"
88,2020.04.14,"2,270",+100,"208,401"
87,2020.04.16,"2,360",+90,"205,591"
86,2020.04.17,"2,370",+10,"143,900"
85,2020.04.20,"2,455",+85,"278,900"
84,2020.04.21,"2,325",-130,"329,455"
83,2020.04.22,"2,395",+70,"194,233"
82,2020.04.23,"2,395",0,"140,944"
81,2020.04.24,"2,300",-95,"157,915"
80,2020.04.27,"2,300",0,"78,521"
79,2020.04.28,"2,260",-40,"105,814"
78,2020.04.29,"2,300",+40,"132,183"
77,2020.05.04,"2,275",-25,"75,040"
76,2020.05.06,"2,275",0,"123,753"
75,2020.05.07,"2,345",+70,"67,642"
74,2020.05.08,"2,355",+10,"60,090"
73,2020.05.11,"2,435",+80,"295,001"
72,2020.05.12,"2,400",-35,"101,048"
71,2020.05.13,"2,405",+5,"87,670"
70,2020.05.14,"2,320",-85,"84,210"
69,2020.05.15,"2,250",-70,"270,643"
68,2020.05.18,"2,195",-55,"191,678"
67,2020.05.19,"2,210",+15,"98,427"
66,2020.05.20,"2,250",+40,"59,587"
65,2020.05.21,"2,295",+45,"50,572"
64,2020.05.22,"2,280",-15,"42,124"
63,2020.05.25,"2,270",-10,"75,485"
62,2020.05.26,"2,250",-20,"126,614"
61,2020.05.27,"2,250",0,"67,182"
60,2020.05.28,"2,225",-25,"161,740"
59,2020.05.29,"2,195",-30,"50,979"
58,2020.06.01,"2,205",+10,"91,683"
57,2020.06.02,"2,355",+150,"558,655"
56,2020.06.03,"2,475",+120,"701,195"
55,2020.06.04,"2,660",+185,"422,348"
54,2020.06.05,"2,970",+310,"5,090,559"
53,2020.06.08,"2,960",-10,"711,036"
52,2020.06.09,"3,060",+100,"476,349"
51,2020.06.10,"3,090",+30,"264,442"
50,2020.06.11,"3,155",+65,"575,332"
49,2020.06.12,"3,095",-60,"351,752"
48,2020.06.15,"2,740",-355,"377,569"
47,2020.06.16,"3,005",+265,"378,092"
46,2020.06.17,"3,015",+10,"282,724"
45,2020.06.18,"3,000",-15,"249,372"
44,2020.06.19,"2,945",-55,"562,676"
43,2020.06.22,"2,875",-70,"212,484"
42,2020.06.23,"2,735",-140,"272,661"
41,2020.06.24,"2,815",+80,"199,770"
40,2020.06.25,"3,015",+200,"356,206"
