,date,종가,전일비,거래량
159,2020.01.02,"23,350",+800,"81,396"
158,2020.01.03,"22,950",-400,"95,310"
157,2020.01.06,"22,100",-850,"69,617"
156,2020.01.07,"22,850",+750,"65,674"
155,2020.01.08,"22,100",-750,"114,267"
154,2020.01.09,"23,450","+1,350","132,876"
153,2020.01.10,"23,450",0,"94,782"
152,2020.01.13,"24,900","+1,450","431,457"
151,2020.01.14,"24,900",0,"134,111"
150,2020.01.15,"25,400",+500,"132,526"
149,2020.01.16,"25,850",+450,"111,298"
148,2020.01.17,"25,800",-50,"62,371"
147,2020.01.20,"25,100",-700,"171,796"
146,2020.01.21,"24,400",-700,"149,887"
145,2020.01.22,"24,700",+300,"80,959"
144,2020.01.23,"24,100",-600,"82,846"
143,2020.01.28,"21,900","-2,200","324,597"
142,2020.01.29,"22,000",+100,"164,851"
141,2020.01.30,"21,300",-700,"88,109"
140,2020.01.31,"21,300",0,"78,956"
139,2020.02.03,"21,700",+400,"98,225"
138,2020.02.04,"22,100",+400,"73,282"
137,2020.02.05,"22,450",+350,"87,496"
136,2020.02.06,"22,750",+300,"51,547"
135,2020.02.07,"22,550",-200,"43,092"
134,2020.02.10,"22,800",+250,"72,660"
133,2020.02.11,"23,750",+950,"116,203"
132,2020.02.12,"23,850",+100,"72,194"
131,2020.02.13,"24,050",+200,"117,974"
130,2020.02.14,"23,750",-300,"63,813"
129,2020.02.17,"23,700",-50,"99,222"
128,2020.02.18,"23,050",-650,"126,370"
127,2020.02.19,"22,700",-350,"90,836"
126,2020.02.20,"23,750","+1,050","347,826"
125,2020.02.21,"22,850",-900,"131,323"
124,2020.02.24,"21,950",-900,"172,872"
123,2020.02.25,"22,400",+450,"82,612"
122,2020.02.26,"22,800",+400,"71,627"
121,2020.02.27,"22,700",-100,"80,646"
120,2020.02.28,"21,750",-950,"123,981"
119,2020.03.02,"22,100",+350,"169,750"
118,2020.03.03,"21,900",-200,"53,838"
117,2020.03.04,"22,350",+450,"50,770"
116,2020.03.05,"22,700",+350,"56,855"
115,2020.03.06,"22,000",-700,"90,946"
114,2020.03.09,"20,900","-1,100","91,796"
113,2020.03.10,"21,000",+100,"93,229"
112,2020.03.11,"20,150",-850,"115,475"
111,2020.03.12,"18,500","-1,650","206,433"
110,2020.03.13,"17,100","-1,400","208,642"
109,2020.03.16,"16,550",-550,"109,865"
108,2020.03.17,"16,950",+400,"83,321"
107,2020.03.18,"16,150",-800,"89,107"
106,2020.03.19,"13,800","-2,350","203,864"
105,2020.03.20,"14,450",+650,"155,112"
104,2020.03.23,"13,650",-800,"109,823"
103,2020.03.24,"14,450",+800,"102,801"
102,2020.03.25,"15,650","+1,200","130,609"
101,2020.03.26,"16,800","+1,150","194,272"
100,2020.03.27,"16,900",+100,"133,572"
99,2020.03.30,"17,200",+300,"77,113"
98,2020.03.31,"17,900",+700,"101,136"
97,2020.04.01,"17,700",-200,"73,337"
96,2020.04.02,"18,100",+400,"92,079"
95,2020.04.03,"18,150",+50,"86,658"
94,2020.04.06,"19,200","+1,050","83,617"
93,2020.04.07,"19,550",+350,"93,158"
92,2020.04.08,"19,800",+250,"87,516"
91,2020.04.09,"19,950",+150,"64,576"
90,2020.04.10,"19,950",0,"67,456"
89,2020.04.13,"20,200",+250,"93,710"
88,2020.04.14,"20,800",+600,"62,684"
87,2020.04.16,"21,050",+250,"68,020"
86,2020.04.17,"22,250","+1,200","142,511"
85,2020.04.20,"22,350",+100,"125,191"
84,2020.04.21,"21,800",-550,"181,472"
83,2020.04.22,"21,800",0,"92,872"
82,2020.04.23,"21,950",+150,"53,577"
81,2020.04.24,"21,500",-450,"44,379"
80,2020.04.27,"21,550",+50,"60,234"
79,2020.04.28,"21,500",-50,"60,866"
78,2020.04.29,"21,850",+350,"58,596"
77,2020.05.04,"21,700",-150,"84,953"
76,2020.05.06,"22,050",+350,"49,303"
75,2020.05.07,"22,400",+350,"93,007"
74,2020.05.08,"22,600",+200,"51,446"
73,2020.05.11,"22,400",-200,"54,666"
72,2020.05.12,"21,800",-600,"43,843"
71,2020.05.13,"21,650",-150,"33,823"
70,2020.05.14,"21,750",+100,"54,819"
69,2020.05.15,"21,750",0,"67,593"
68,2020.05.18,"22,000",+250,"45,783"
67,2020.05.19,"22,350",+350,"56,449"
66,2020.05.20,"22,600",+250,"58,088"
65,2020.05.21,"22,900",+300,"94,046"
64,2020.05.22,"22,200",-700,"85,850"
63,2020.05.25,"22,100",-100,"62,241"
62,2020.05.26,"24,000","+1,900","336,027"
61,2020.05.27,"25,150","+1,150","411,167"
60,2020.05.28,"23,650","-1,500","319,487"
59,2020.05.29,"22,500","-1,150","120,610"
58,2020.06.01,"23,250",+750,"96,764"
57,2020.06.02,"23,250",0,"110,381"
56,2020.06.03,"22,950",-300,"126,132"
55,2020.06.04,"23,400",+450,"227,300"
54,2020.06.05,"23,550",+150,"104,001"
53,2020.06.08,"23,400",-150,"73,506"
52,2020.06.09,"23,250",-150,"69,733"
51,2020.06.10,"23,300",+50,"90,508"
50,2020.06.11,"22,450",-850,"121,919"
49,2020.06.12,"21,600",-850,"134,655"
48,2020.06.15,"19,800","-1,800","142,142"
47,2020.06.16,"20,600",+800,"91,911"
46,2020.06.17,"20,350",-250,"108,768"
45,2020.06.18,"20,200",-150,"48,502"
44,2020.06.19,"20,350",+150,"136,313"
43,2020.06.22,"20,200",-150,"43,824"
42,2020.06.23,"20,150",-50,"37,801"
41,2020.06.24,"20,250",+100,"28,132"
40,2020.06.25,"20,000",-250,"45,040"
39,2020.06.26,"19,700",-300,"72,614"
38,2020.06.29,"19,200",-500,"65,189"
37,2020.06.30,"21,950","+2,750","1,174,272"
36,2020.07.01,"20,400","-1,550","257,767"
35,2020.07.02,"20,700",+300,"154,284"
34,2020.07.03,"21,550",+850,"186,852"
33,2020.07.06,"21,750",+200,"139,066"
32,2020.07.07,"21,650",-100,"88,233"
31,2020.07.08,"21,700",+50,"84,590"
30,2020.07.09,"21,450",-250,"53,891"
29,2020.07.10,"21,200",-250,"72,528"
28,2020.07.13,"22,000",+800,"151,422"
27,2020.07.14,"23,250","+1,250","278,233"
26,2020.07.15,"24,800","+1,550","390,691"
25,2020.07.16,"30,800","+6,000","3,749,800"
24,2020.07.17,"30,400",-400,"948,574"
23,2020.07.20,"33,250","+2,850","1,566,945"
22,2020.07.21,"33,700",+450,"725,406"
21,2020.07.22,"33,600",-100,"453,263"
20,2020.07.23,"31,100","-2,500","548,737"
19,2020.07.24,"30,800",-300,"334,042"
18,2020.07.27,"30,750",-50,"155,691"
17,2020.07.28,"30,200",-550,"254,304"
16,2020.07.29,"30,050",-150,"130,990"
15,2020.07.30,"30,000",-50,"228,080"
14,2020.07.31,"29,000","-1,000","138,656"
13,2020.08.03,"29,000",0,"125,362"
12,2020.08.04,"29,550",+550,"186,600"
11,2020.08.05,"29,050",-500,"231,424"
10,2020.08.06,"29,050",0,"392,640"
9,2020.08.07,"32,400","+3,350","1,209,933"
8,2020.08.10,"32,600",+200,"452,559"
7,2020.08.11,"31,500","-1,100","235,270"
6,2020.08.12,"31,600",+100,"171,055"
5,2020.08.13,"31,500",-100,"217,962"
4,2020.08.14,"31,850",+350,"189,582"
3,2020.08.18,"29,500","-2,350","269,638"
2,2020.08.19,"31,900","+2,400","489,479"
1,2020.08.20,"30,650","-1,250","256,493"
0,2020.08.21,"30,450",-200,"122,488"
