,date,체결가,전일비,거래대금
160,2020.01.02,674.02,4.19,"4,476,504"
159,2020.01.03,669.93,4.09,"5,540,086"
158,2020.01.06,655.31,14.62,"4,961,872"
157,2020.01.07,663.44,8.13,"5,302,183"
156,2020.01.08,640.94,22.50,"7,034,355"
155,2020.01.09,666.09,25.15,"5,261,765"
154,2020.01.10,673.03,6.94,"4,913,661"
153,2020.01.13,679.22,6.19,"4,843,152"
152,2020.01.14,678.71,0.51,"5,205,779"
151,2020.01.15,679.16,0.45,"4,233,510"
150,2020.01.16,686.52,7.36,"5,239,369"
149,2020.01.17,688.41,1.89,"5,544,314"
148,2020.01.20,683.47,4.94,"5,916,227"
147,2020.01.21,676.52,6.95,"5,569,469"
146,2020.01.22,688.25,11.73,"4,631,042"
145,2020.01.23,685.57,2.68,"5,009,218"
144,2020.01.28,664.70,20.87,"6,991,101"
143,2020.01.29,670.18,5.48,"5,573,599"
142,2020.01.30,656.39,13.79,"6,228,414"
141,2020.01.31,642.48,13.91,"6,458,896"
140,2020.02.03,646.85,4.37,"6,081,593"
139,2020.02.04,661.24,14.39,"5,073,960"
138,2020.02.05,661.32,0.08,"5,266,753"
137,2020.02.06,672.69,11.37,"4,609,410"
136,2020.02.07,672.63,0.06,"5,232,691"
135,2020.02.10,676.07,3.44,"4,829,779"
134,2020.02.11,682.34,6.27,"5,516,294"
133,2020.02.12,686.59,4.25,"6,045,972"
132,2020.02.13,687.61,1.02,"6,993,822"
131,2020.02.14,688.91,1.30,"7,351,634"
130,2020.02.17,692.59,3.68,"6,524,735"
129,2020.02.18,682.92,9.67,"7,509,559"
128,2020.02.19,684.78,1.86,"7,629,860"
127,2020.02.20,681.66,3.12,"8,799,125"
126,2020.02.21,667.99,13.67,"8,134,693"
125,2020.02.24,639.29,28.70,"8,178,363"
124,2020.02.25,656.95,17.66,"6,189,111"
123,2020.02.26,654.63,2.32,"6,137,280"
122,2020.02.27,638.17,16.46,"7,715,985"
121,2020.02.28,610.73,27.44,"8,020,425"
120,2020.03.02,627.66,16.93,"6,153,922"
119,2020.03.03,626.82,0.84,"6,053,621"
118,2020.03.04,641.73,14.91,"5,659,995"
117,2020.03.05,650.19,8.46,"6,397,649"
116,2020.03.06,642.72,7.47,"7,238,871"
115,2020.03.09,614.60,28.12,"8,683,416"
114,2020.03.10,619.97,5.37,"9,633,330"
113,2020.03.11,595.61,24.36,"8,354,953"
112,2020.03.12,563.49,32.12,"8,049,548"
111,2020.03.13,524.00,39.49,"8,152,013"
110,2020.03.16,504.51,19.49,"7,219,385"
