,date,체결가,전일비,거래대금
159,2020.01.02,"2,175.17",22.50,"4,638,167"
158,2020.01.03,"2,176.46",1.29,"5,763,662"
157,2020.01.06,"2,155.07",21.39,"5,156,540"
156,2020.01.07,"2,175.54",20.47,"5,143,511"
155,2020.01.08,"2,151.31",24.23,"8,750,722"
154,2020.01.09,"2,186.45",35.14,"7,261,591"
153,2020.01.10,"2,206.39",19.94,"6,459,299"
152,2020.01.13,"2,229.26",22.87,"6,214,780"
151,2020.01.14,"2,238.88",9.62,"7,294,227"
150,2020.01.15,"2,230.98",7.90,"5,946,351"
149,2020.01.16,"2,248.05",17.07,"6,204,474"
148,2020.01.17,"2,250.57",2.52,"5,444,383"
147,2020.01.20,"2,262.64",12.07,"5,950,403"
146,2020.01.21,"2,239.69",22.95,"5,569,550"
145,2020.01.22,"2,267.25",27.56,"6,365,617"
144,2020.01.23,"2,246.13",21.12,"6,790,103"
143,2020.01.28,"2,176.72",69.41,"8,818,232"
142,2020.01.29,"2,185.28",8.56,"6,589,949"
141,2020.01.30,"2,148.00",37.28,"7,105,203"
140,2020.01.31,"2,119.01",28.99,"7,226,687"
139,2020.02.03,"2,118.88",0.13,"8,068,704"
138,2020.02.04,"2,157.90",39.02,"7,791,178"
137,2020.02.05,"2,165.63",7.73,"7,736,275"
136,2020.02.06,"2,227.94",62.31,"8,334,737"
135,2020.02.07,"2,211.95",15.99,"8,813,174"
134,2020.02.10,"2,201.07",10.88,"5,471,061"
133,2020.02.11,"2,223.12",22.05,"6,611,195"
132,2020.02.12,"2,238.38",15.26,"6,892,197"
131,2020.02.13,"2,232.96",5.42,"8,121,197"
130,2020.02.14,"2,243.59",10.63,"6,379,565"
129,2020.02.17,"2,242.17",1.42,"5,639,200"
128,2020.02.18,"2,208.88",33.29,"6,411,451"
127,2020.02.19,"2,210.34",1.46,"7,107,033"
126,2020.02.20,"2,195.50",14.84,"7,677,672"
125,2020.02.21,"2,162.84",32.66,"7,105,856"
124,2020.02.24,"2,079.04",83.80,"9,315,474"
123,2020.02.25,"2,103.61",24.57,"8,952,278"
122,2020.02.26,"2,076.77",26.84,"8,060,327"
121,2020.02.27,"2,054.89",21.88,"7,241,174"
120,2020.02.28,"1,987.01",67.88,"9,927,960"
119,2020.03.02,"2,002.51",15.50,"7,811,002"
118,2020.03.03,"2,014.15",11.64,"8,687,846"
117,2020.03.04,"2,059.33",45.18,"7,829,192"
116,2020.03.05,"2,085.26",25.93,"7,954,349"
115,2020.03.06,"2,040.22",45.04,"7,233,537"
114,2020.03.09,"1,954.77",85.45,"8,796,943"
113,2020.03.10,"1,962.93",8.16,"9,133,693"
112,2020.03.11,"1,908.27",54.66,"8,598,096"
111,2020.03.12,"1,834.33",73.94,"11,309,953"
110,2020.03.13,"1,771.44",62.89,"13,376,937"
109,2020.03.16,"1,714.86",56.58,"8,593,833"
108,2020.03.17,"1,672.44",42.42,"9,709,076"
