,date,종가,전일비,거래량
160,2020.01.02,"6,850",+60,"103,916"
159,2020.01.03,"6,710",-140,"92,287"
158,2020.01.06,"6,550",-160,"42,594"
157,2020.01.07,"6,680",+130,"50,295"
156,2020.01.08,"6,320",-360,"97,026"
155,2020.01.09,"6,450",+130,"63,798"
154,2020.01.10,"6,540",+90,"41,186"
153,2020.01.13,"6,580",+40,"32,506"
152,2020.01.14,"6,540",-40,"72,037"
151,2020.01.15,"6,590",+50,"55,438"
150,2020.01.16,"6,530",-60,"54,782"
149,2020.01.17,"6,530",0,"37,298"
148,2020.01.20,"6,700",+170,"120,135"
147,2020.01.21,"6,680",-20,"170,405"
146,2020.01.22,"7,160",+480,"1,301,373"
145,2020.01.23,"7,300",+140,"416,477"
144,2020.01.28,"8,470","+1,170","4,016,837"
143,2020.01.29,"8,300",-170,"3,283,957"
142,2020.01.30,"8,180",-120,"5,918,333"
141,2020.01.31,"7,560",-620,"2,048,952"
140,2020.02.03,"6,600",-960,"1,366,905"
139,2020.02.04,"7,100",+500,"2,783,725"
138,2020.02.05,"7,260",+160,"1,620,934"
137,2020.02.06,"7,400",+140,"972,608"
136,2020.02.07,"7,390",-10,"765,082"
135,2020.02.10,"6,980",-410,"564,538"
134,2020.02.11,"6,770",-210,"488,825"
133,2020.02.12,"6,550",-220,"437,856"
132,2020.02.13,"6,580",+30,"344,363"
131,2020.02.14,"6,600",+20,"269,370"
130,2020.02.17,"6,400",-200,"345,496"
129,2020.02.18,"6,470",+70,"501,163"
128,2020.02.19,"6,740",+270,"533,913"
127,2020.02.20,"6,840",+100,"1,739,558"
126,2020.02.21,"7,060",+220,"1,418,399"
125,2020.02.24,"6,960",-100,"1,095,185"
124,2020.02.25,"6,800",-160,"578,414"
123,2020.02.26,"6,780",-20,"736,529"
122,2020.02.27,"7,300",+520,"5,979,606"
121,2020.02.28,"6,840",-460,"981,296"
120,2020.03.02,"7,120",+280,"2,792,283"
119,2020.03.03,"7,050",-70,"2,738,637"
118,2020.03.04,"6,630",-420,"1,251,578"
117,2020.03.05,"6,540",-90,"980,532"
116,2020.03.06,"6,900",+360,"4,434,054"
115,2020.03.09,"7,330",+430,"5,303,241"
114,2020.03.10,"6,740",-590,"4,198,093"
113,2020.03.11,"6,390",-350,"1,753,409"
112,2020.03.12,"6,700",+310,"3,467,642"
111,2020.03.13,"5,470","-1,230","1,756,553"
110,2020.03.16,"7,110","+1,640","12,617,449"
109,2020.03.17,"8,070",+960,"17,267,099"
108,2020.03.18,"8,060",-10,"9,345,845"
107,2020.03.19,"8,650",+590,"17,648,144"
106,2020.03.20,"8,680",+30,"4,749,109"
105,2020.03.23,"8,980",+300,"3,597,249"
104,2020.03.24,"8,750",-230,"2,272,137"
103,2020.03.25,"9,950","+1,200","12,891,155"
102,2020.03.26,"12,250","+2,300","10,587,802"
101,2020.03.27,"12,000",-250,"11,337,779"
100,2020.03.30,"12,250",+250,"4,546,189"
99,2020.03.31,"15,900","+3,650","16,867,464"
98,2020.04.01,"15,600",-300,"10,776,466"
97,2020.04.02,"13,350","-2,250","4,969,405"
96,2020.04.03,"14,000",+650,"4,213,404"
95,2020.04.06,"14,700",+700,"5,027,834"
94,2020.04.07,"13,750",-950,"2,482,432"
93,2020.04.08,"14,050",+300,"2,469,961"
92,2020.04.09,"13,400",-650,"1,695,628"
91,2020.04.10,"12,900",-500,"12,998,426"
90,2020.04.13,"11,500","-1,400","3,398,594"
89,2020.04.14,"11,750",+250,"5,676,208"
88,2020.04.16,"11,200",-550,"2,305,602"
87,2020.04.17,"11,150",-50,"1,657,658"
86,2020.04.20,"11,800",+650,"2,596,525"
85,2020.04.21,"11,250",-550,"2,216,503"
84,2020.04.22,"11,450",+200,"2,428,430"
83,2020.04.23,"11,700",+250,"1,160,210"
82,2020.04.24,"11,650",-50,"1,984,729"
81,2020.04.27,"11,700",+50,"856,857"
80,2020.04.28,"11,450",-250,"1,657,098"
79,2020.04.29,"11,100",-350,"802,500"
78,2020.05.04,"11,000",-100,"512,808"
77,2020.05.06,"10,800",-200,"814,233"
76,2020.05.07,"11,150",+350,"440,328"
75,2020.05.08,"11,500",+350,"883,757"
74,2020.05.11,"11,900",+400,"1,003,967"
73,2020.05.12,"12,200",+300,"1,525,653"
72,2020.05.13,"12,200",0,"974,154"
71,2020.05.14,"13,250","+1,050","4,714,718"
70,2020.05.15,"12,550",-700,"2,142,709"
69,2020.05.18,"12,750",+200,"1,228,676"
68,2020.05.19,"12,500",-250,"2,151,938"
67,2020.05.20,"12,700",+200,"961,603"
66,2020.05.21,"12,550",-150,"568,672"
65,2020.05.22,"12,800",+250,"1,154,832"
64,2020.05.25,"12,800",0,"1,745,716"
63,2020.05.26,"12,500",-300,"691,826"
62,2020.05.27,"12,050",-450,"736,300"
61,2020.05.28,"12,100",+50,"693,566"
60,2020.05.29,"11,800",-300,"424,131"
59,2020.06.01,"12,000",+200,"400,683"
58,2020.06.02,"11,650",-350,"606,784"
57,2020.06.03,"11,250",-400,"673,037"
56,2020.06.04,"11,300",+50,"554,775"
55,2020.06.05,"11,900",+600,"703,591"
54,2020.06.08,"12,400",+500,"1,571,452"
53,2020.06.09,"12,650",+250,"782,401"
52,2020.06.10,"12,900",+250,"862,762"
51,2020.06.11,"12,700",-200,"996,366"
50,2020.06.12,"12,850",+150,"1,393,783"
49,2020.06.15,"12,050",-800,"1,223,716"
48,2020.06.16,"13,200","+1,150","2,343,733"
47,2020.06.17,"12,450",-750,"1,439,255"
46,2020.06.18,"12,000",-450,"800,587"
45,2020.06.19,"11,600",-400,"813,869"
44,2020.06.22,"11,800",+200,"641,053"
43,2020.06.23,"11,400",-400,"552,890"
42,2020.06.24,"11,950",+550,"616,785"
41,2020.06.25,"11,550",-400,"512,350"
40,2020.06.26,"11,550",0,"342,394"
39,2020.06.29,"11,250",-300,"328,688"
38,2020.06.30,"11,450",+200,"422,021"
37,2020.07.01,"11,150",-300,"309,646"
36,2020.07.02,"11,500",+350,"255,221"
35,2020.07.03,"12,200",+700,"1,196,463"
34,2020.07.06,"12,050",-150,"452,539"
33,2020.07.07,"12,650",+600,"737,405"
32,2020.07.08,"12,600",-50,"460,443"
31,2020.07.09,"12,300",-300,"410,052"
30,2020.07.10,"12,650",+350,"1,404,026"
29,2020.07.13,"12,550",-100,"678,060"
28,2020.07.14,"12,900",+350,"990,041"
27,2020.07.15,"12,450",-450,"710,504"
26,2020.07.16,"12,450",0,"377,388"
25,2020.07.17,"12,700",+250,"336,001"
24,2020.07.20,"14,000","+1,300","4,395,650"
23,2020.07.21,"14,950",+950,"2,940,804"
22,2020.07.22,"15,100",+150,"1,591,997"
21,2020.07.23,"15,350",+250,"2,956,821"
20,2020.07.24,"15,500",+150,"1,309,767"
19,2020.07.27,"15,850",+350,"1,532,179"
18,2020.07.28,"15,950",+100,"841,061"
