,date,종가,전일비,거래량
160,2020.01.02,"30,950",+300,"152,379"
159,2020.01.03,"31,500",+550,"272,230"
158,2020.01.06,"30,200","-1,300","284,165"
157,2020.01.07,"32,400","+2,200","573,484"
156,2020.01.08,"30,900","-1,500","467,623"
155,2020.01.09,"32,700","+1,800","332,149"
154,2020.01.10,"33,550",+850,"302,511"
153,2020.01.13,"34,950","+1,400","390,042"
152,2020.01.14,"31,950","-3,000","608,267"
151,2020.01.15,"32,000",+50,"281,413"
150,2020.01.16,"32,300",+300,"276,622"
149,2020.01.17,"31,050","-1,250","462,090"
148,2020.01.20,"31,400",+350,"292,142"
147,2020.01.21,"31,450",+50,"215,785"
146,2020.01.22,"33,200","+1,750","385,406"
145,2020.01.23,"32,750",-450,"305,124"
144,2020.01.28,"33,700",+950,"3,370,916"
143,2020.01.29,"32,550","-1,150","715,174"
142,2020.01.30,"32,450",-100,"1,170,589"
141,2020.01.31,"30,100","-2,350","714,953"
140,2020.02.03,"30,100",0,"419,954"
139,2020.02.04,"31,650","+1,550","354,215"
138,2020.02.05,"31,550",-100,"331,489"
137,2020.02.06,"32,100",+550,"233,708"
136,2020.02.07,"32,300",+200,"259,717"
135,2020.02.10,"32,250",-50,"252,582"
134,2020.02.11,"32,200",-50,"213,633"
133,2020.02.12,"33,050",+850,"1,458,422"
132,2020.02.13,"31,450","-1,600","657,300"
131,2020.02.14,"31,150",-300,"231,147"
130,2020.02.17,"30,650",-500,"214,285"
129,2020.02.18,"35,550","+4,900","11,771,657"
128,2020.02.19,"34,900",-650,"6,505,194"
127,2020.02.20,"33,750","-1,150","3,717,553"
126,2020.02.21,"32,400","-1,350","1,812,891"
125,2020.02.24,"33,250",+850,"3,225,488"
124,2020.02.25,"33,250",0,"1,349,865"
123,2020.02.26,"33,650",+400,"1,908,712"
122,2020.02.27,"34,200",+550,"5,250,083"
121,2020.02.28,"36,500","+2,300","4,672,937"
120,2020.03.02,"40,400","+3,900","11,744,681"
119,2020.03.03,"40,800",+400,"5,258,648"
118,2020.03.04,"37,450","-3,350","3,362,309"
117,2020.03.05,"37,200",-250,"3,384,339"
116,2020.03.06,"48,350","+11,150","14,746,216"
115,2020.03.09,"62,800","+14,450","11,847,286"
114,2020.03.10,"54,700","-8,100","21,429,726"
113,2020.03.11,"59,000","+4,300","11,146,630"
112,2020.03.12,"56,500","-2,500","6,871,757"
111,2020.03.13,"49,350","-7,150","7,940,662"
110,2020.03.16,"58,000","+8,650","15,163,632"
109,2020.03.17,"64,100","+6,100","15,203,796"
108,2020.03.18,"59,200","-4,900","10,234,011"
107,2020.03.19,"67,200","+8,000","10,683,284"
106,2020.03.20,"68,000",+800,"8,843,753"
105,2020.03.23,"68,800",+800,"5,978,126"
104,2020.03.24,"67,800","-1,000","4,691,687"
103,2020.03.25,"88,100","+20,300","10,896,296"
102,2020.03.26,"114,500","+26,400","10,510,792"
101,2020.03.27,"115,900","+1,400","19,808,283"
100,2020.03.30,"121,000","+5,100","8,749,154"
99,2020.03.31,"111,100","-9,900","6,321,630"
98,2020.04.01,"94,700","-16,400","8,275,146"
97,2020.04.02,"90,500","-4,200","5,182,372"
96,2020.04.03,"93,500","+3,000","5,720,534"
95,2020.04.06,"95,300","+1,800","3,050,834"
94,2020.04.07,"88,700","-6,600","2,878,497"
93,2020.04.08,"95,700","+7,000","7,211,249"
92,2020.04.09,"96,000",+300,"4,190,743"
91,2020.04.10,"92,700","-3,300","2,724,956"
90,2020.04.13,"88,500","-4,200","2,881,538"
89,2020.04.14,"84,100","-4,400","3,712,704"
88,2020.04.16,"84,900",+800,"3,461,618"
87,2020.04.17,"82,700","-2,200","1,845,146"
86,2020.04.20,"91,700","+9,000","7,421,962"
85,2020.04.21,"89,100","-2,600","5,107,180"
84,2020.04.22,"93,300","+4,200","9,396,456"
83,2020.04.23,"90,100","-3,200","2,838,495"
82,2020.04.24,"89,500",-600,"3,091,545"
81,2020.04.27,"96,000","+6,500","4,466,940"
80,2020.04.28,"92,800","-3,200","2,342,277"
79,2020.04.29,"92,900",+100,"1,740,305"
78,2020.05.04,"88,900","-4,000","1,461,497"
77,2020.05.06,"84,600","-4,300","2,103,620"
76,2020.05.07,"85,600","+1,000","1,310,797"
75,2020.05.08,"91,700","+6,100","3,758,173"
74,2020.05.11,"92,900","+1,200","2,806,275"
73,2020.05.12,"99,200","+6,300","6,658,807"
72,2020.05.13,"99,100",-100,"4,064,257"
71,2020.05.14,"128,800","+29,700","19,522,215"
70,2020.05.15,"118,400","-10,400","13,683,843"
69,2020.05.18,"116,200","-2,200","4,253,907"
68,2020.05.19,"107,000","-9,200","4,657,118"
67,2020.05.20,"106,300",-700,"3,054,669"
66,2020.05.21,"107,100",+800,"1,861,541"
65,2020.05.22,"109,700","+2,600","3,380,291"
64,2020.05.25,"114,400","+4,700","2,717,176"
63,2020.05.26,"112,700","-1,700","1,429,514"
62,2020.05.27,"114,500","+1,800","3,417,403"
61,2020.05.28,"120,700","+6,200","4,169,397"
60,2020.05.29,"116,900","-3,800","2,150,186"
