,date,종가,전일비,거래량
160,2020.01.02,"9,070",+30,"38,618"
159,2020.01.03,"9,000",-70,"36,601"
158,2020.01.06,"8,590",-410,"117,968"
157,2020.01.07,"8,650",+60,"26,598"
156,2020.01.08,"8,210",-440,"104,460"
155,2020.01.09,"8,540",+330,"56,238"
154,2020.01.10,"8,570",+30,"28,592"
153,2020.01.13,"8,750",+180,"47,941"
152,2020.01.14,"8,880",+130,"51,329"
151,2020.01.15,"8,830",-50,"22,650"
150,2020.01.16,"8,930",+100,"55,678"
149,2020.01.17,"8,950",+20,"26,157"
148,2020.01.20,"8,910",-40,"39,711"
147,2020.01.21,"8,790",-120,"44,081"
146,2020.01.22,"8,770",-20,"37,731"
145,2020.01.23,"8,670",-100,"14,916"
144,2020.01.28,"8,590",-80,"81,067"
143,2020.01.29,"8,500",-90,"42,564"
142,2020.01.30,"8,200",-300,"76,750"
141,2020.01.31,"8,200",0,"75,723"
140,2020.02.03,"8,060",-140,"153,383"
139,2020.02.04,"8,170",+110,"35,836"
138,2020.02.05,"8,190",+20,"24,063"
137,2020.02.06,"8,250",+60,"54,612"
136,2020.02.07,"8,290",+40,"34,953"
135,2020.02.10,"8,190",-100,"41,119"
134,2020.02.11,"8,200",+10,"37,246"
133,2020.02.12,"8,200",0,"37,079"
132,2020.02.13,"8,200",0,"36,794"
131,2020.02.14,"8,140",-60,"36,392"
130,2020.02.17,"8,120",-20,"43,510"
129,2020.02.18,"8,050",-70,"55,100"
128,2020.02.19,"8,000",-50,"36,523"
127,2020.02.20,"7,800",-200,"67,752"
126,2020.02.21,"7,470",-330,"85,413"
125,2020.02.24,"6,910",-560,"80,028"
124,2020.02.25,"7,200",+290,"78,029"
123,2020.02.26,"7,220",+20,"35,094"
122,2020.02.27,"7,210",-10,"54,730"
121,2020.02.28,"6,870",-340,"55,062"
120,2020.03.02,"7,100",+230,"52,039"
119,2020.03.03,"7,320",+220,"45,165"
118,2020.03.04,"7,420",+100,"14,293"
117,2020.03.05,"7,550",+130,"29,838"
116,2020.03.06,"7,250",-300,"72,881"
115,2020.03.09,"7,050",-200,"48,458"
114,2020.03.10,"6,940",-110,"92,032"
113,2020.03.11,"6,750",-190,"99,298"
112,2020.03.12,"6,310",-440,"132,106"
111,2020.03.13,"6,000",-310,"181,730"
110,2020.03.16,"5,780",-220,"69,248"
109,2020.03.17,"5,920",+140,"81,510"
108,2020.03.18,"6,000",+80,"49,127"
107,2020.03.19,"4,715","-1,285","79,622"
106,2020.03.20,"5,140",+425,"100,091"
105,2020.03.23,"4,975",-165,"48,791"
104,2020.03.24,"5,220",+245,"52,740"
103,2020.03.25,"5,380",+160,"52,481"
102,2020.03.26,"5,810",+430,"109,847"
101,2020.03.27,"6,000",+190,"76,157"
100,2020.03.30,"6,000",0,"68,126"
99,2020.03.31,"6,160",+160,"57,986"
98,2020.04.01,"5,930",-230,"77,333"
97,2020.04.02,"6,030",+100,"49,943"
96,2020.04.03,"6,020",-10,"34,602"
95,2020.04.06,"6,230",+210,"133,142"
94,2020.04.07,"6,520",+290,"152,869"
93,2020.04.08,"6,820",+300,"217,877"
92,2020.04.09,"6,800",-20,"100,854"
91,2020.04.10,"6,850",+50,"62,970"
90,2020.04.13,"6,840",-10,"415,490"
89,2020.04.14,"6,750",-90,"71,463"
88,2020.04.16,"6,760",+10,"56,090"
87,2020.04.17,"6,830",+70,"88,453"
86,2020.04.20,"6,920",+90,"101,409"
85,2020.04.21,"6,670",-250,"172,032"
84,2020.04.22,"6,710",+40,"48,572"
83,2020.04.23,"7,260",+550,"152,888"
82,2020.04.24,"7,160",-100,"98,331"
81,2020.04.27,"7,180",+20,"110,143"
80,2020.04.28,"7,180",0,"52,033"
79,2020.04.29,"7,180",0,"47,735"
78,2020.05.04,"7,450",+270,"77,318"
77,2020.05.06,"9,680","+2,230","2,473,620"
76,2020.05.07,"10,200",+520,"4,019,203"
75,2020.05.08,"9,930",-270,"705,645"
74,2020.05.11,"10,000",+70,"1,294,016"
73,2020.05.12,"10,200",+200,"373,449"
72,2020.05.13,"10,750",+550,"720,957"
71,2020.05.14,"10,400",-350,"281,827"
70,2020.05.15,"10,150",-250,"296,709"
69,2020.05.18,"9,730",-420,"227,719"
68,2020.05.19,"9,420",-310,"261,448"
67,2020.05.20,"9,810",+390,"369,764"
66,2020.05.21,"10,150",+340,"176,033"
65,2020.05.22,"10,100",-50,"233,481"
64,2020.05.25,"9,930",-170,"109,512"
63,2020.05.26,"10,350",+420,"227,379"
62,2020.05.27,"10,200",-150,"160,920"
61,2020.05.28,"10,300",+100,"216,174"
60,2020.05.29,"12,400","+2,100","5,182,269"
59,2020.06.01,"12,500",+100,"904,978"
58,2020.06.02,"12,500",0,"477,798"
57,2020.06.03,"12,350",-150,"279,825"
56,2020.06.04,"12,650",+300,"1,123,304"
55,2020.06.05,"15,150","+2,500","4,102,277"
54,2020.06.08,"14,450",-700,"636,136"
53,2020.06.09,"17,050","+2,600","4,217,279"
52,2020.06.10,"16,600",-450,"796,963"
51,2020.06.11,"16,950",+350,"589,926"
50,2020.06.12,"17,000",+50,"506,897"
49,2020.06.15,"16,500",-500,"662,831"
48,2020.06.16,"17,350",+850,"349,844"
47,2020.06.17,"19,100","+1,750","1,128,015"
46,2020.06.18,"24,800","+5,700","2,400,087"
45,2020.06.19,"24,200",-600,"2,989,179"
44,2020.06.22,"24,800",+600,"586,447"
43,2020.06.23,"25,800","+1,000","575,500"
42,2020.06.24,"25,350",-450,"304,506"
41,2020.06.25,"25,350",0,"177,965"
40,2020.06.26,"25,550",+200,"263,066"
39,2020.06.29,"23,850","-1,700","204,506"
38,2020.06.30,"20,300","-3,550","989,930"
37,2020.07.01,"19,000","-1,300","906,201"
36,2020.07.02,"18,900",-100,"247,664"
35,2020.07.03,"19,850",+950,"262,356"
34,2020.07.06,"23,500","+3,650","536,523"
33,2020.07.07,"23,900",+400,"256,073"
32,2020.07.08,"23,550",-350,"148,199"
31,2020.07.09,"24,600","+1,050","364,329"
30,2020.07.10,"24,900",+300,"262,213"
29,2020.07.13,"24,550",-350,"138,171"
28,2020.07.14,"24,400",-150,"246,818"
27,2020.07.15,"21,300","-3,100","587,587"
26,2020.07.16,"22,250",+950,"299,785"
25,2020.07.17,"22,750",+500,"114,106"
24,2020.07.20,"23,250",+500,"112,078"
23,2020.07.21,"23,450",+200,"275,303"
22,2020.07.22,"23,700",+250,"217,776"
21,2020.07.23,"23,450",-250,"156,809"
20,2020.07.24,"26,200","+2,750","1,189,012"
19,2020.07.27,"26,050",-150,"292,039"
18,2020.07.28,"26,050",0,"246,660"
17,2020.07.29,"25,250",-800,"349,628"
16,2020.07.30,"24,700",-550,"246,698"
15,2020.07.31,"24,450",-250,"170,714"
14,2020.08.03,"23,250","-1,200","277,111"
13,2020.08.04,"24,300","+1,050","193,238"
12,2020.08.05,"25,650","+1,350","4,516,445"
11,2020.08.06,"25,650",0,"437,957"
10,2020.08.07,"24,900",-750,"358,710"
9,2020.08.10,"24,850",-50,"200,261"
8,2020.08.11,"25,650",+800,"280,171"
7,2020.08.12,"25,750",+100,"537,777"
6,2020.08.13,"25,400",-350,"225,749"
5,2020.08.14,"27,150","+1,750","470,745"
4,2020.08.18,"25,150","-2,000","1,055,968"
3,2020.08.19,"25,850",+700,"808,709"
2,2020.08.20,"26,650",+800,"442,755"
1,2020.08.21,"26,850",+200,"3,106,999"
0,2020.08.24,"28,000","+1,150","618,190"
