,date,종가,전일비,거래량
160,2020.01.02,"8,020",+120,"2,871,810"
159,2020.01.03,"8,020",0,"602,181"
158,2020.01.06,"7,670",-350,"884,761"
157,2020.01.07,"7,600",-70,"411,697"
156,2020.01.08,"7,270",-330,"665,165"
155,2020.01.09,"7,440",+170,"302,171"
154,2020.01.10,"7,690",+250,"309,428"
153,2020.01.13,"7,660",-30,"237,091"
152,2020.01.14,"7,800",+140,"260,041"
151,2020.01.15,"7,720",-80,"258,580"
150,2020.01.16,"7,940",+220,"440,137"
149,2020.01.17,"7,750",-190,"327,841"
148,2020.01.20,"7,740",-10,"351,707"
147,2020.01.21,"7,600",-140,"221,165"
146,2020.01.22,"7,750",+150,"178,492"
145,2020.01.23,"7,580",-170,"233,228"
144,2020.01.28,"7,630",+50,"2,135,471"
143,2020.01.29,"7,330",-300,"1,463,790"
142,2020.01.30,"7,150",-180,"444,535"
141,2020.01.31,"6,890",-260,"328,047"
140,2020.02.03,"6,830",-60,"232,119"
139,2020.02.04,"7,100",+270,"164,561"
138,2020.02.05,"7,200",+100,"113,196"
137,2020.02.06,"7,250",+50,"158,920"
136,2020.02.07,"7,230",-20,"123,643"
135,2020.02.10,"7,210",-20,"101,332"
134,2020.02.11,"7,170",-40,"122,268"
133,2020.02.12,"7,110",-60,"310,813"
132,2020.02.13,"7,120",+10,"123,051"
131,2020.02.14,"7,030",-90,"129,401"
130,2020.02.17,"7,030",0,"134,639"
129,2020.02.18,"6,940",-90,"125,500"
128,2020.02.19,"7,050",+110,"119,282"
127,2020.02.20,"6,930",-120,"121,531"
126,2020.02.21,"6,780",-150,"141,939"
125,2020.02.24,"6,330",-450,"243,117"
124,2020.02.25,"6,700",+370,"229,387"
123,2020.02.26,"6,690",-10,"175,405"
122,2020.02.27,"6,480",-210,"205,446"
121,2020.02.28,"6,190",-290,"307,282"
120,2020.03.02,"6,170",-20,"243,790"
119,2020.03.03,"6,250",+80,"541,411"
118,2020.03.04,"6,340",+90,"222,580"
117,2020.03.05,"6,470",+130,"221,442"
116,2020.03.06,"6,310",-160,"207,952"
115,2020.03.09,"6,200",-110,"304,273"
114,2020.03.10,"6,190",-10,"246,397"
113,2020.03.11,"5,910",-280,"233,829"
112,2020.03.12,"5,500",-410,"290,880"
111,2020.03.13,"5,280",-220,"473,575"
110,2020.03.16,"5,290",+10,"622,717"
109,2020.03.17,"5,310",+20,"250,822"
108,2020.03.18,"5,150",-160,"187,780"
107,2020.03.19,"4,780",-370,"394,029"
106,2020.03.20,"5,250",+470,"319,153"
105,2020.03.23,"5,210",-40,"327,478"
104,2020.03.24,"5,460",+250,"229,676"
103,2020.03.25,"6,240",+780,"1,967,439"
102,2020.03.26,"6,230",-10,"1,152,050"
101,2020.03.27,"6,150",-80,"1,314,386"
100,2020.03.30,"6,230",+80,"967,371"
99,2020.03.31,"6,560",+330,"1,648,973"
98,2020.04.01,"6,240",-320,"682,982"
97,2020.04.02,"6,260",+20,"307,565"
96,2020.04.03,"6,460",+200,"318,064"
95,2020.04.06,"6,670",+210,"842,186"
94,2020.04.07,"7,480",+810,"3,975,434"
93,2020.04.08,"6,840",-640,"1,596,011"
92,2020.04.09,"6,660",-180,"715,377"
91,2020.04.10,"7,600",+940,"3,236,542"
90,2020.04.13,"6,850",-750,"3,312,332"
89,2020.04.14,"6,850",0,"930,981"
88,2020.04.16,"6,680",-170,"634,278"
87,2020.04.17,"6,740",+60,"458,278"
86,2020.04.20,"6,710",-30,"621,530"
85,2020.04.21,"6,510",-200,"755,445"
84,2020.04.22,"6,710",+200,"422,929"
83,2020.04.23,"6,800",+90,"1,062,982"
82,2020.04.24,"6,600",-200,"338,755"
81,2020.04.27,"6,620",+20,"265,484"
80,2020.04.28,"6,520",-100,"267,354"
79,2020.04.29,"6,460",-60,"222,090"
78,2020.05.04,"6,370",-90,"228,035"
77,2020.05.06,"6,760",+390,"496,722"
76,2020.05.07,"6,760",0,"300,666"
75,2020.05.08,"6,810",+50,"206,465"
74,2020.05.11,"6,720",-90,"210,875"
73,2020.05.12,"6,620",-100,"179,012"
72,2020.05.13,"6,780",+160,"414,811"
71,2020.05.14,"6,710",-70,"319,156"
70,2020.05.15,"6,560",-150,"263,233"
69,2020.05.18,"6,520",-40,"295,313"
68,2020.05.19,"6,840",+320,"704,505"
67,2020.05.20,"6,800",-40,"522,548"
66,2020.05.21,"6,790",-10,"265,663"
65,2020.05.22,"7,010",+220,"1,854,501"
64,2020.05.25,"7,160",+150,"1,482,945"
63,2020.05.26,"7,150",-10,"591,523"
62,2020.05.27,"6,980",-170,"506,117"
61,2020.05.28,"6,920",-60,"516,331"
60,2020.05.29,"6,900",-20,"220,894"
59,2020.06.01,"7,210",+310,"1,312,908"
58,2020.06.02,"7,300",+90,"540,608"
57,2020.06.03,"7,140",-160,"554,246"
56,2020.06.04,"7,060",-80,"329,057"
55,2020.06.05,"7,190",+130,"359,607"
54,2020.06.08,"7,610",+420,"4,884,980"
53,2020.06.09,"7,780",+170,"1,367,092"
52,2020.06.10,"7,800",+20,"1,244,164"
51,2020.06.11,"8,150",+350,"4,913,124"
50,2020.06.12,"8,570",+420,"4,569,871"
49,2020.06.15,"8,640",+70,"5,092,678"
48,2020.06.16,"8,860",+220,"1,449,788"
47,2020.06.17,"8,280",-580,"1,293,474"
46,2020.06.18,"8,180",-100,"1,425,496"
45,2020.06.19,"8,270",+90,"1,260,386"
44,2020.06.22,"8,190",-80,"1,062,895"
43,2020.06.23,"7,960",-230,"722,276"
42,2020.06.24,"8,140",+180,"1,695,723"
41,2020.06.25,"8,160",+20,"565,222"
40,2020.06.26,"8,040",-120,"372,679"
39,2020.06.29,"7,630",-410,"535,734"
38,2020.06.30,"8,000",+370,"586,287"
37,2020.07.01,"8,010",+10,"1,323,973"
36,2020.07.02,"8,000",-10,"553,779"
35,2020.07.03,"8,030",+30,"248,351"
34,2020.07.06,"7,950",-80,"481,717"
33,2020.07.07,"7,750",-200,"470,253"
32,2020.07.08,"7,770",+20,"447,531"
31,2020.07.09,"7,610",-160,"341,121"
30,2020.07.10,"7,940",+330,"942,686"
