,date,종가,전일비,거래량
160,2020.01.02,"231,500","-5,000","31,296"
159,2020.01.03,"230,500","-1,000","38,180"
158,2020.01.06,"226,500","-4,000","26,424"
157,2020.01.07,"230,500","+4,000","33,226"
156,2020.01.08,"226,000","-4,500","37,014"
155,2020.01.09,"230,500","+4,500","39,347"
154,2020.01.10,"232,000","+1,500","28,674"
153,2020.01.13,"233,500","+1,500","27,374"
152,2020.01.14,"232,500","-1,000","27,723"
151,2020.01.15,"231,500","-1,000","26,553"
150,2020.01.16,"231,500",0,"25,618"
149,2020.01.17,"229,500","-2,000","22,731"
148,2020.01.20,"231,000","+1,500","29,858"
147,2020.01.21,"230,000","-1,000","22,359"
146,2020.01.22,"230,000",0,"21,659"
145,2020.01.23,"227,000","-3,000","25,681"
144,2020.01.28,"227,500",+500,"57,100"
143,2020.01.29,"225,000","-2,500","30,078"
142,2020.01.30,"222,500","-2,500","26,128"
141,2020.01.31,"218,000","-4,500","31,268"
140,2020.02.03,"217,500",-500,"45,896"
139,2020.02.04,"220,500","+3,000","36,973"
138,2020.02.05,"220,000",-500,"31,405"
137,2020.02.06,"224,000","+4,000","56,571"
136,2020.02.07,"228,000","+4,000","35,828"
135,2020.02.10,"226,000","-2,000","19,525"
134,2020.02.11,"226,500",+500,"22,649"
133,2020.02.12,"227,500","+1,000","36,451"
132,2020.02.13,"225,000","-2,500","31,944"
131,2020.02.14,"221,500","-3,500","27,488"
130,2020.02.17,"220,500","-1,000","25,835"
129,2020.02.18,"220,000",-500,"21,638"
128,2020.02.19,"221,000","+1,000","28,661"
127,2020.02.20,"220,000","-1,000","27,355"
126,2020.02.21,"213,500","-6,500","44,739"
125,2020.02.24,"207,000","-6,500","41,958"
124,2020.02.25,"212,000","+5,000","46,053"
123,2020.02.26,"211,500",-500,"34,656"
122,2020.02.27,"216,500","+5,000","57,995"
121,2020.02.28,"214,000","-2,500","83,670"
120,2020.03.02,"222,500","+8,500","58,746"
119,2020.03.03,"226,500","+4,000","72,635"
118,2020.03.04,"227,500","+1,000","69,194"
117,2020.03.05,"233,000","+5,500","67,533"
116,2020.03.06,"233,500",+500,"57,856"
115,2020.03.09,"231,500","-2,000","56,208"
114,2020.03.10,"233,000","+1,500","69,370"
113,2020.03.11,"227,000","-6,000","65,185"
112,2020.03.12,"214,000","-13,000","92,620"
111,2020.03.13,"208,000","-6,000","103,445"
110,2020.03.16,"208,000",0,"48,713"
109,2020.03.17,"212,000","+4,000","69,480"
108,2020.03.18,"207,500","-4,500","67,133"
107,2020.03.19,"194,500","-13,000","88,336"
106,2020.03.20,"200,000","+5,500","76,558"
105,2020.03.23,"195,000","-5,000","56,517"
104,2020.03.24,"200,500","+5,500","53,960"
103,2020.03.25,"202,000","+1,500","78,216"
102,2020.03.26,"203,000","+1,000","70,831"
101,2020.03.27,"223,000","+20,000","555,567"
100,2020.03.30,"223,000",0,"122,325"
99,2020.03.31,"229,000","+6,000","145,657"
98,2020.04.01,"224,500","-4,500","195,574"
97,2020.04.02,"224,500",0,"71,427"
96,2020.04.03,"224,500",0,0
95,2020.04.06,"224,500",0,0
94,2020.04.07,"224,500",0,0
93,2020.04.08,"46,550","+1,650","2,612,972"
92,2020.04.09,"49,000","+2,450","1,819,258"
91,2020.04.10,"48,550",-450,"712,604"
90,2020.04.13,"47,750",-800,"517,666"
89,2020.04.14,"47,200",-550,"612,501"
88,2020.04.16,"46,200","-1,000","574,409"
87,2020.04.17,"46,700",+500,"829,942"
86,2020.04.20,"46,900",+200,"556,649"
85,2020.04.21,"46,500",-400,"488,931"
84,2020.04.22,"47,200",+700,"332,788"
83,2020.04.23,"47,600",+400,"390,343"
82,2020.04.24,"46,950",-650,"306,877"
81,2020.04.27,"46,750",-200,"262,739"
80,2020.04.28,"46,600",-150,"233,817"
79,2020.04.29,"47,150",+550,"320,172"
78,2020.05.04,"46,350",-800,"444,634"
77,2020.05.06,"46,950",+600,"228,405"
76,2020.05.07,"46,800",-150,"214,670"
75,2020.05.08,"49,150","+2,350","824,620"
74,2020.05.11,"52,000","+2,850","2,914,944"
73,2020.05.12,"51,000","-1,000","646,714"
72,2020.05.13,"51,100",+100,"630,433"
71,2020.05.14,"51,600",+500,"794,362"
70,2020.05.15,"51,600",0,"477,755"
69,2020.05.18,"53,500","+1,900","4,460,868"
68,2020.05.19,"52,200","-1,300","935,099"
67,2020.05.20,"51,900",-300,"576,266"
66,2020.05.21,"52,300",+400,"539,296"
65,2020.05.22,"52,000",-300,"605,709"
64,2020.05.25,"52,500",+500,"363,428"
63,2020.05.26,"51,800",-700,"452,996"
62,2020.05.27,"51,600",-200,"288,065"
61,2020.05.28,"51,400",-200,"591,415"
60,2020.05.29,"51,900",+500,"578,329"
59,2020.06.01,"52,600",+700,"629,148"
58,2020.06.02,"51,800",-800,"413,623"
57,2020.06.03,"52,100",+300,"596,092"
56,2020.06.04,"51,800",-300,"504,784"
55,2020.06.05,"51,800",0,"517,399"
54,2020.06.08,"57,000","+5,200","5,974,675"
53,2020.06.09,"55,900","-1,100","2,612,748"
52,2020.06.10,"55,100",-800,"1,274,952"
51,2020.06.11,"56,000",+900,"1,383,694"
50,2020.06.12,"55,000","-1,000","878,967"
49,2020.06.15,"51,600","-3,400","1,326,801"
48,2020.06.16,"54,000","+2,400","660,604"
47,2020.06.17,"54,100",+100,"1,625,760"
46,2020.06.18,"54,000",-100,"537,622"
45,2020.06.19,"54,000",0,"432,473"
44,2020.06.22,"54,100",+100,"404,693"
