,date,종가,전일비,거래량
160,2020.01.02,"6,720",+10,"271,764"
159,2020.01.03,"6,950",+230,"1,242,901"
158,2020.01.06,"6,730",-220,"1,663,662"
157,2020.01.07,"6,650",-80,"597,379"
156,2020.01.08,"6,150",-500,"817,286"
155,2020.01.09,"6,530",+380,"5,084,773"
154,2020.01.10,"6,840",+310,"1,018,247"
153,2020.01.13,"6,860",+20,"1,510,150"
152,2020.01.14,"6,850",-10,"870,314"
151,2020.01.15,"6,860",+10,"846,759"
150,2020.01.16,"7,150",+290,"4,188,808"
149,2020.01.17,"7,270",+120,"3,667,955"
148,2020.01.20,"7,610",+340,"5,801,021"
147,2020.01.21,"7,100",-510,"2,292,735"
146,2020.01.22,"7,610",+510,"12,504,102"
145,2020.01.23,"7,920",+310,"7,811,926"
144,2020.01.28,"8,850",+930,"12,609,392"
143,2020.01.29,"7,950",-900,"2,151,776"
142,2020.01.30,"7,150",-800,"2,249,154"
141,2020.01.31,"6,600",-550,"2,012,127"
140,2020.02.03,"7,100",+500,"9,251,096"
139,2020.02.04,"6,940",-160,"1,568,997"
138,2020.02.05,"6,940",0,"2,289,804"
137,2020.02.06,"7,060",+120,"840,231"
136,2020.02.07,"7,260",+200,"2,388,244"
135,2020.02.10,"7,510",+250,"3,671,648"
134,2020.02.11,"7,460",-50,"1,169,512"
133,2020.02.12,"7,100",-360,"833,106"
132,2020.02.13,"7,130",+30,"581,867"
131,2020.02.14,"7,240",+110,"831,374"
130,2020.02.17,"7,090",-150,"402,608"
129,2020.02.18,"7,230",+140,"716,569"
128,2020.02.19,"7,370",+140,"1,821,556"
127,2020.02.20,"7,350",-20,"1,921,329"
126,2020.02.21,"7,090",-260,"1,134,308"
125,2020.02.24,"6,280",-810,"969,423"
124,2020.02.25,"6,500",+220,"1,012,587"
123,2020.02.26,"6,360",-140,"544,521"
122,2020.02.27,"6,220",-140,"570,374"
121,2020.02.28,"6,110",-110,"3,655,699"
120,2020.03.02,"6,090",-20,"455,937"
119,2020.03.03,"6,200",+110,"594,692"
118,2020.03.04,"6,370",+170,"615,877"
117,2020.03.05,"6,500",+130,"1,393,590"
116,2020.03.06,"6,510",+10,"661,600"
115,2020.03.09,"6,020",-490,"711,376"
114,2020.03.10,"5,850",-170,"554,359"
113,2020.03.11,"5,450",-400,"662,661"
112,2020.03.12,"5,170",-280,"582,450"
111,2020.03.13,"4,465",-705,"794,042"
110,2020.03.16,"4,400",-65,"755,373"
109,2020.03.17,"4,395",-5,"384,895"
108,2020.03.18,"4,160",-235,"510,103"
107,2020.03.19,"3,240",-920,"691,490"
106,2020.03.20,"3,450",+210,"448,526"
105,2020.03.23,"3,415",-35,"706,302"
104,2020.03.24,"3,650",+235,"421,119"
103,2020.03.25,"4,040",+390,"695,718"
102,2020.03.26,"4,400",+360,"1,627,314"
101,2020.03.27,"4,490",+90,"1,189,124"
100,2020.03.30,"4,630",+140,"428,216"
99,2020.03.31,"4,775",+145,"676,342"
98,2020.04.01,"4,925",+150,"925,077"
97,2020.04.02,"5,040",+115,"398,145"
96,2020.04.03,"5,130",+90,"430,584"
95,2020.04.06,"6,660","+1,530","467,800"
94,2020.04.07,"7,230",+570,"15,152,345"
93,2020.04.08,"7,450",+220,"18,817,507"
92,2020.04.09,"7,750",+300,"20,388,380"
91,2020.04.10,"6,880",-870,"5,287,708"
90,2020.04.13,"6,100",-780,"1,900,813"
89,2020.04.14,"6,300",+200,"2,466,670"
88,2020.04.16,"6,350",+50,"537,735"
87,2020.04.17,"6,350",0,"422,731"
86,2020.04.20,"6,850",+500,"1,120,069"
85,2020.04.21,"6,580",-270,"1,617,374"
84,2020.04.22,"7,060",+480,"8,466,700"
83,2020.04.23,"7,270",+210,"1,808,613"
82,2020.04.24,"6,850",-420,"1,465,381"
81,2020.04.27,"7,160",+310,"1,041,669"
80,2020.04.28,"6,940",-220,"503,113"
79,2020.04.29,"6,930",-10,"383,308"
78,2020.05.04,"6,930",0,"373,602"
77,2020.05.06,"7,120",+190,"749,519"
76,2020.05.07,"7,000",-120,"512,965"
75,2020.05.08,"7,200",+200,"1,114,185"
74,2020.05.11,"7,060",-140,"510,378"
73,2020.05.12,"6,980",-80,"400,364"
72,2020.05.13,"7,060",+80,"773,879"
71,2020.05.14,"7,310",+250,"2,975,104"
70,2020.05.15,"7,140",-170,"807,089"
69,2020.05.18,"6,970",-170,"369,263"
68,2020.05.19,"6,860",-110,"386,252"
67,2020.05.20,"7,000",+140,"259,307"
66,2020.05.21,"6,990",-10,"253,723"
65,2020.05.22,"6,820",-170,"395,691"
64,2020.05.25,"7,230",+410,"4,243,400"
63,2020.05.26,"7,250",+20,"594,426"
62,2020.05.27,"7,090",-160,"437,909"
61,2020.05.28,"7,170",+80,"1,626,205"
60,2020.05.29,"7,200",+30,"1,784,069"
59,2020.06.01,"7,330",+130,"1,057,859"
58,2020.06.02,"7,490",+160,"1,205,136"
57,2020.06.03,"7,280",-210,"1,311,316"
56,2020.06.04,"7,260",-20,"524,799"
55,2020.06.05,"7,420",+160,"915,853"
54,2020.06.08,"7,370",-50,"410,389"
53,2020.06.09,"7,250",-120,"381,377"
52,2020.06.10,"7,370",+120,"1,898,239"
51,2020.06.11,"7,160",-210,"732,015"
50,2020.06.12,"6,890",-270,"530,741"
49,2020.06.15,"6,260",-630,"696,333"
48,2020.06.16,"6,730",+470,"985,077"
47,2020.06.17,"6,750",+20,"339,611"
46,2020.06.18,"6,800",+50,"263,842"
45,2020.06.19,"6,830",+30,"265,757"
44,2020.06.22,"6,880",+50,"300,444"
43,2020.06.23,"6,910",+30,"669,802"
42,2020.06.24,"6,890",-20,"243,146"
41,2020.06.25,"6,790",-100,"183,817"
40,2020.06.26,"6,870",+80,"873,467"
39,2020.06.29,"6,630",-240,"301,449"
38,2020.06.30,"8,310","+1,680","32,655,388"
37,2020.07.01,"7,800",-510,"35,323,748"
36,2020.07.02,"8,300",+500,"12,119,413"
35,2020.07.03,"8,350",+50,"2,721,189"
34,2020.07.06,"8,400",+50,"8,901,081"
33,2020.07.07,"8,400",0,"3,231,740"
32,2020.07.08,"8,400",0,"1,677,253"
31,2020.07.09,"8,130",-270,"908,218"
30,2020.07.10,"7,940",-190,"712,579"
29,2020.07.13,"8,080",+140,"636,938"
28,2020.07.14,"8,620",+540,"2,910,198"
27,2020.07.15,"8,340",-280,"2,955,617"
26,2020.07.16,"8,000",-340,"805,204"
25,2020.07.17,"8,240",+240,"1,322,699"
24,2020.07.20,"8,150",-90,"577,597"
23,2020.07.21,"8,180",+30,"658,038"
22,2020.07.22,"8,310",+130,"627,314"
21,2020.07.23,"8,410",+100,"993,186"
20,2020.07.24,"8,360",-50,"3,684,147"
19,2020.07.27,"8,170",-190,"829,657"
18,2020.07.28,"7,990",-180,"618,064"
17,2020.07.29,"7,830",-160,"411,186"
16,2020.07.30,"7,810",-20,"443,837"
15,2020.07.31,"7,890",+80,"288,029"
14,2020.08.03,"8,270",+380,"966,325"
13,2020.08.04,"8,520",+250,"1,400,232"
12,2020.08.05,"8,940",+420,"6,013,476"
11,2020.08.06,"8,480",-460,"6,533,319"
10,2020.08.07,"8,640",+160,"830,773"
9,2020.08.10,"8,540",-100,"1,244,432"
8,2020.08.11,"8,680",+140,"1,381,807"
7,2020.08.12,"9,290",+610,"9,445,735"
6,2020.08.13,"8,850",-440,"2,106,814"
5,2020.08.14,"8,640",-210,"1,060,991"
4,2020.08.18,"8,280",-360,"1,575,384"
3,2020.08.19,"8,440",+160,"583,517"
2,2020.08.20,"8,350",-90,"1,122,975"
1,2020.08.21,"8,100",-250,"758,551"
0,2020.08.24,"8,220",+120,"382,953"
