,date,종가,전일비,거래량
160,2020.01.02,"95,200","-1,800","18,540"
159,2020.01.03,"94,000","-1,200","24,909"
158,2020.01.06,"92,200","-1,800","14,964"
157,2020.01.07,"91,900",-300,"13,870"
156,2020.01.08,"89,600","-2,300","28,849"
155,2020.01.09,"90,100",+500,"23,339"
154,2020.01.10,"90,900",+800,"28,051"
153,2020.01.13,"92,700","+1,800","23,385"
152,2020.01.14,"94,000","+1,300","38,003"
151,2020.01.15,"95,400","+1,400","32,927"
150,2020.01.16,"95,300",-100,"21,222"
149,2020.01.17,"94,200","-1,100","21,264"
148,2020.01.20,"95,300","+1,100","22,803"
147,2020.01.21,"95,200",-100,"15,681"
146,2020.01.22,"96,900","+1,700","23,312"
145,2020.01.23,"96,300",-600,"20,385"
144,2020.01.28,"94,500","-1,800","32,588"
143,2020.01.29,"94,200",-300,"18,545"
142,2020.01.30,"94,000",-200,"21,572"
141,2020.01.31,"92,900","-1,100","21,884"
140,2020.02.03,"92,600",-300,"23,033"
139,2020.02.04,"93,200",+600,"29,896"
138,2020.02.05,"92,500",-700,"30,363"
137,2020.02.06,"94,200","+1,700","33,714"
136,2020.02.07,"93,600",-600,"36,529"
135,2020.02.10,"93,000",-600,"18,765"
134,2020.02.11,"96,800","+3,800","38,386"
133,2020.02.12,"97,000",+200,"26,691"
132,2020.02.13,"95,000","-2,000","34,043"
131,2020.02.14,"93,600","-1,400","19,048"
130,2020.02.17,"93,400",-200,"13,271"
129,2020.02.18,"93,100",-300,"18,801"
128,2020.02.19,"96,200","+3,100","44,894"
127,2020.02.20,"94,700","-1,500","23,131"
126,2020.02.21,"92,000","-2,700","24,501"
125,2020.02.24,"88,700","-3,300","21,990"
124,2020.02.25,"90,200","+1,500","34,658"
123,2020.02.26,"89,600",-600,"22,927"
122,2020.02.27,"88,900",-700,"22,894"
121,2020.02.28,"86,400","-2,500","36,913"
120,2020.03.02,"88,500","+2,100","26,266"
119,2020.03.03,"89,500","+1,000","26,067"
118,2020.03.04,"88,700",-800,"25,216"
117,2020.03.05,"89,300",+600,"30,175"
116,2020.03.06,"88,000","-1,300","26,843"
115,2020.03.09,"87,200",-800,"25,627"
114,2020.03.10,"86,400",-800,"29,506"
113,2020.03.11,"83,100","-3,300","31,398"
112,2020.03.12,"80,500","-2,600","58,633"
111,2020.03.13,"78,500","-2,000","65,993"
110,2020.03.16,"75,300","-3,200","51,450"
109,2020.03.17,"74,600",-700,"46,619"
108,2020.03.18,"71,900","-2,700","81,633"
107,2020.03.19,"64,000","-7,900","75,245"
106,2020.03.20,"65,200","+1,200","80,315"
105,2020.03.23,"61,300","-3,900","63,929"
104,2020.03.24,"67,300","+6,000","63,559"
103,2020.03.25,"71,200","+3,900","77,922"
102,2020.03.26,"73,700","+2,500","83,009"
101,2020.03.27,"74,500",+800,"135,426"
100,2020.03.30,"75,400",+900,"41,692"
99,2020.03.31,"85,000","+9,600","80,861"
98,2020.04.01,"81,300","-3,700","66,251"
