,date,종가,전일비,거래량
160,2020.01.02,"2,130",+10,"113,841"
159,2020.01.03,"2,245",+115,"939,728"
158,2020.01.06,"2,195",-50,"290,842"
157,2020.01.07,"2,140",-55,"174,199"
156,2020.01.08,"2,005",-135,"196,535"
155,2020.01.09,"2,080",+75,"231,311"
154,2020.01.10,"2,130",+50,"88,289"
153,2020.01.13,"2,110",-20,"139,678"
152,2020.01.14,"2,115",+5,"41,876"
151,2020.01.15,"2,180",+65,"174,255"
150,2020.01.16,"2,240",+60,"1,601,242"
149,2020.01.17,"2,355",+115,"666,224"
148,2020.01.20,"3,060",+705,"3,580,930"
147,2020.01.21,"3,600",+540,"11,219,385"
146,2020.01.22,"3,860",+260,"6,840,835"
145,2020.01.23,"3,605",-255,"3,365,089"
144,2020.01.28,"3,920",+315,"5,002,265"
143,2020.01.29,"3,500",-420,"1,806,736"
142,2020.01.30,"3,350",-150,"2,832,917"
141,2020.01.31,"2,895",-455,"1,389,251"
140,2020.02.03,"2,350",-545,"1,303,532"
139,2020.02.04,"2,615",+265,"3,046,494"
138,2020.02.05,"2,620",+5,"771,160"
137,2020.02.06,"2,570",-50,"490,413"
136,2020.02.07,"2,785",+215,"3,867,197"
135,2020.02.10,"2,600",-185,"586,334"
134,2020.02.11,"2,955",+355,"3,832,797"
133,2020.02.12,"2,690",-265,"891,247"
132,2020.02.13,"2,700",+10,"557,740"
131,2020.02.14,"2,640",-60,"390,447"
130,2020.02.17,"2,580",-60,"238,297"
129,2020.02.18,"2,585",+5,"559,795"
128,2020.02.19,"2,850",+265,"1,852,244"
127,2020.02.20,"3,320",+470,"7,227,422"
126,2020.02.21,"3,210",-110,"2,099,658"
125,2020.02.24,"3,090",-120,"1,537,646"
124,2020.02.25,"2,800",-290,"583,354"
123,2020.02.26,"2,750",-50,"843,534"
122,2020.02.27,"2,825",+75,"3,542,801"
121,2020.02.28,"2,820",-5,"789,167"
120,2020.03.02,"2,810",-10,"406,969"
119,2020.03.03,"2,910",+100,"3,872,688"
118,2020.03.04,"3,005",+95,"1,295,403"
117,2020.03.05,"2,920",-85,"966,304"
116,2020.03.06,"3,125",+205,"3,359,932"
115,2020.03.09,"3,710",+585,"5,764,080"
114,2020.03.10,"4,820","+1,110","21,128,545"
113,2020.03.11,"5,070",+250,"16,262,975"
112,2020.03.12,"4,740",-330,"3,711,551"
111,2020.03.13,"3,690","-1,050","3,015,977"
110,2020.03.16,"3,935",+245,"4,149,767"
109,2020.03.17,"4,170",+235,"3,321,597"
108,2020.03.18,"4,520",+350,"8,017,050"
107,2020.03.19,"4,160",-360,"1,882,888"
106,2020.03.20,"4,255",+95,"1,817,591"
105,2020.03.23,"5,400","+1,145","6,308,284"
104,2020.03.24,"5,320",-80,"3,515,591"
103,2020.03.25,"6,050",+730,"8,751,618"
102,2020.03.26,"7,790","+1,740","6,332,568"
101,2020.03.27,"7,790",0,0
100,2020.03.30,"10,100","+2,310","6,698,433"
99,2020.03.31,"10,100",0,0
98,2020.04.01,"9,580",-520,"7,455,881"
97,2020.04.02,"7,420","-2,160","4,533,037"
96,2020.04.03,"7,440",+20,"3,934,933"
95,2020.04.06,"7,700",+260,"2,851,995"
94,2020.04.07,"7,980",+280,"5,217,292"
93,2020.04.08,"7,400",-580,"2,456,185"
92,2020.04.09,"7,160",-240,"1,272,802"
91,2020.04.10,"6,450",-710,"1,865,025"
90,2020.04.13,"7,430",+980,"10,218,576"
89,2020.04.14,"7,310",-120,"2,502,404"
88,2020.04.16,"6,910",-400,"1,264,625"
87,2020.04.17,"6,340",-570,"1,178,784"
86,2020.04.20,"7,450","+1,110","2,543,079"
85,2020.04.21,"7,450",0,"1,690,833"
84,2020.04.22,"7,370",-80,"902,350"
83,2020.04.23,"7,550",+180,"677,004"
82,2020.04.24,"7,450",-100,"717,905"
81,2020.04.27,"7,430",-20,"488,279"
80,2020.04.28,"7,650",+220,"2,200,729"
79,2020.04.29,"7,940",+290,"1,438,748"
78,2020.05.04,"8,630",+690,"2,930,775"
77,2020.05.06,"8,620",-10,"948,412"
76,2020.05.07,"9,460",+840,"3,748,195"
75,2020.05.08,"10,300",+840,"1,714,913"
74,2020.05.11,"13,350","+3,050","7,336,679"
73,2020.05.12,"12,250","-1,100","3,208,832"
72,2020.05.13,"12,600",+350,"1,376,184"
71,2020.05.14,"12,600",0,"2,845,603"
70,2020.05.15,"12,900",+300,"2,392,035"
69,2020.05.18,"12,400",-500,"1,295,395"
68,2020.05.19,"12,200",-200,"963,231"
67,2020.05.20,"12,600",+400,"517,762"
66,2020.05.21,"12,650",+50,"400,071"
65,2020.05.22,"13,900","+1,250","2,033,059"
64,2020.05.25,"14,100",+200,"868,096"
63,2020.05.26,"14,300",+200,"494,964"
62,2020.05.27,"14,500",+200,"368,023"
61,2020.05.28,"15,350",+850,"838,771"
60,2020.05.29,"14,850",-500,"728,184"
59,2020.06.01,"15,350",+500,"435,877"
