,date,종가,전일비,거래량
160,2020.01.02,"5,680",+60,"154,428"
159,2020.01.03,"5,880",+200,"736,097"
158,2020.01.06,"5,630",-250,"458,363"
157,2020.01.07,"5,650",+20,"221,859"
156,2020.01.08,"5,180",-470,"587,599"
155,2020.01.09,"5,520",+340,"805,352"
154,2020.01.10,"5,650",+130,"238,778"
153,2020.01.13,"5,780",+130,"341,055"
152,2020.01.14,"5,730",-50,"272,738"
151,2020.01.15,"5,740",+10,"217,544"
150,2020.01.16,"5,950",+210,"674,582"
149,2020.01.17,"6,910",+960,"12,779,347"
148,2020.01.20,"7,010",+100,"11,283,760"
147,2020.01.21,"6,490",-520,"2,444,200"
146,2020.01.22,"6,490",0,"938,842"
145,2020.01.23,"6,680",+190,"2,575,852"
144,2020.01.28,"7,700","+1,020","10,362,674"
143,2020.01.29,"6,910",-790,"1,716,740"
142,2020.01.30,"6,290",-620,"1,125,625"
141,2020.01.31,"5,810",-480,"906,121"
140,2020.02.03,"5,940",+130,"1,904,571"
139,2020.02.04,"5,920",-20,"606,137"
138,2020.02.05,"5,930",+10,"402,093"
137,2020.02.06,"5,990",+60,"384,252"
136,2020.02.07,"5,900",-90,"504,485"
135,2020.02.10,"5,870",-30,"675,953"
134,2020.02.11,"5,880",+10,"278,732"
133,2020.02.12,"5,670",-210,"369,838"
132,2020.02.13,"5,700",+30,"271,081"
131,2020.02.14,"5,930",+230,"743,658"
130,2020.02.17,"5,860",-70,"207,241"
129,2020.02.18,"5,940",+80,"553,452"
128,2020.02.19,"6,090",+150,"612,722"
127,2020.02.20,"6,040",-50,"1,576,265"
126,2020.02.21,"5,890",-150,"392,334"
125,2020.02.24,"5,390",-500,"414,914"
124,2020.02.25,"5,560",+170,"208,698"
123,2020.02.26,"5,640",+80,"146,359"
122,2020.02.27,"5,440",-200,"233,416"
121,2020.02.28,"5,340",-100,"1,133,147"
120,2020.03.02,"5,400",+60,"237,716"
119,2020.03.03,"5,480",+80,"244,125"
118,2020.03.04,"5,650",+170,"165,139"
117,2020.03.05,"5,710",+60,"291,610"
116,2020.03.06,"5,800",+90,"310,991"
115,2020.03.09,"5,330",-470,"248,375"
114,2020.03.10,"5,320",-10,"290,943"
113,2020.03.11,"5,060",-260,"264,377"
112,2020.03.12,"4,675",-385,"294,917"
111,2020.03.13,"4,030",-645,"578,253"
110,2020.03.16,"3,910",-120,"686,551"
109,2020.03.17,"4,505",+595,"3,194,240"
108,2020.03.18,"4,150",-355,"814,934"
107,2020.03.19,"3,365",-785,"468,749"
106,2020.03.20,"3,535",+170,"378,107"
105,2020.03.23,"3,430",-105,"993,068"
104,2020.03.24,"3,620",+190,"316,975"
103,2020.03.25,"4,060",+440,"826,733"
102,2020.03.26,"4,115",+55,"773,016"
101,2020.03.27,"4,345",+230,"1,177,258"
100,2020.03.30,"4,490",+145,"477,627"
99,2020.03.31,"4,735",+245,"554,374"
98,2020.04.01,"4,910",+175,"1,420,811"
97,2020.04.02,"4,860",-50,"362,985"
96,2020.04.03,"4,875",+15,"240,604"
95,2020.04.06,"6,330","+1,455","3,090,511"
94,2020.04.07,"5,990",-340,"7,431,304"
93,2020.04.08,"5,710",-280,"2,556,311"
92,2020.04.09,"5,860",+150,"1,003,632"
91,2020.04.10,"5,630",-230,"1,223,650"
90,2020.04.13,"5,310",-320,"448,755"
89,2020.04.14,"5,460",+150,"455,539"
88,2020.04.16,"5,490",+30,"300,365"
87,2020.04.17,"5,540",+50,"233,417"
86,2020.04.20,"5,790",+250,"504,847"
85,2020.04.21,"5,520",-270,"597,890"
84,2020.04.22,"5,560",+40,"464,543"
83,2020.04.23,"5,690",+130,"251,983"
82,2020.04.24,"5,500",-190,"402,995"
81,2020.04.27,"5,600",+100,"201,053"
80,2020.04.28,"5,480",-120,"187,426"
79,2020.04.29,"5,400",-80,"196,243"
78,2020.05.04,"5,400",0,"110,506"
77,2020.05.06,"5,680",+280,"257,757"
76,2020.05.07,"5,680",0,"225,886"
75,2020.05.08,"5,690",+10,"261,332"
74,2020.05.11,"5,960",+270,"525,343"
73,2020.05.12,"5,830",-130,"414,484"
