,date,종가,전일비,거래량
160,2020.01.02,"293,500","-3,000","30,812"
159,2020.01.03,"296,500","+3,000","30,873"
158,2020.01.06,"290,000","-6,500","30,086"
157,2020.01.07,"292,000","+2,000","22,012"
156,2020.01.08,"286,000","-6,000","52,199"
155,2020.01.09,"288,000","+2,000","28,683"
154,2020.01.10,"292,500","+4,500","36,756"
153,2020.01.13,"298,500","+6,000","40,500"
152,2020.01.14,"296,000","-2,500","34,554"
151,2020.01.15,"299,500","+3,500","22,480"
150,2020.01.16,"297,500","-2,000","28,018"
149,2020.01.17,"294,500","-3,000","25,366"
148,2020.01.20,"294,500",0,"31,199"
147,2020.01.21,"295,000",+500,"30,504"
146,2020.01.22,"299,500","+4,500","44,023"
145,2020.01.23,"294,500","-5,000","46,125"
144,2020.01.28,"287,000","-7,500","47,207"
143,2020.01.29,"288,000","+1,000","43,584"
142,2020.01.30,"288,000",0,"43,597"
141,2020.01.31,"281,000","-7,000","41,995"
140,2020.02.03,"281,000",0,"43,224"
139,2020.02.04,"284,000","+3,000","32,280"
138,2020.02.05,"281,500","-2,500","37,882"
137,2020.02.06,"292,500","+11,000","40,587"
136,2020.02.07,"296,500","+4,000","44,670"
135,2020.02.10,"298,000","+1,500","71,267"
134,2020.02.11,"300,000","+2,000","31,987"
133,2020.02.12,"301,000","+1,000","22,603"
132,2020.02.13,"296,000","-5,000","41,590"
131,2020.02.14,"292,500","-3,500","36,094"
130,2020.02.17,"289,000","-3,500","41,186"
129,2020.02.18,"285,500","-3,500","44,290"
128,2020.02.19,"286,000",+500,"37,948"
127,2020.02.20,"281,000","-5,000","41,991"
126,2020.02.21,"276,000","-5,000","41,224"
125,2020.02.24,"261,000","-15,000","64,895"
124,2020.02.25,"266,000","+5,000","45,599"
123,2020.02.26,"265,500",-500,"35,681"
122,2020.02.27,"270,000","+4,500","53,509"
121,2020.02.28,"261,000","-9,000","69,407"
120,2020.03.02,"266,500","+5,500","31,176"
119,2020.03.03,"266,500",0,"50,940"
118,2020.03.04,"271,000","+4,500","34,731"
117,2020.03.05,"284,000","+13,000","68,356"
116,2020.03.06,"281,000","-3,000","44,457"
115,2020.03.09,"277,000","-4,000","35,226"
114,2020.03.10,"279,000","+2,000","46,777"
113,2020.03.11,"270,500","-8,500","44,989"
112,2020.03.12,"259,500","-11,000","81,336"
111,2020.03.13,"240,500","-19,000","97,335"
110,2020.03.16,"241,000",+500,"52,595"
109,2020.03.17,"239,500","-1,500","53,917"
108,2020.03.18,"235,500","-4,000","54,574"
107,2020.03.19,"218,000","-17,500","82,505"
106,2020.03.20,"227,000","+9,000","73,900"
