,date,종가,전일비,거래량
0,2020.08.20,"27,800","1,150","509,847"
1,2020.08.19,"28,950","1,400","356,605"
2,2020.08.18,"27,550","1,400","331,733"
3,2020.08.14,"28,950",500,"314,509"
4,2020.08.13,"28,450",750,"298,587"
5,2020.08.12,"29,200",950,"389,080"
6,2020.08.11,"30,150",150,"590,019"
7,2020.08.10,"30,000",300,"698,289"
8,2020.08.07,"30,300",450,"600,514"
9,2020.08.06,"29,850","1,450","969,770"
10,2020.08.05,"31,300","4,000","4,322,247"
11,2020.08.04,"27,300",350,"275,002"
12,2020.08.03,"26,950",500,"268,221"
13,2020.07.31,"26,450",400,"161,387"
14,2020.07.30,"26,850",250,"200,190"
15,2020.07.29,"27,100",50,"411,854"
16,2020.07.28,"27,050",100,"196,132"
17,2020.07.27,"26,950",300,"346,512"
18,2020.07.24,"26,650",250,"354,253"
19,2020.07.23,"26,900","1,200","558,024"
20,2020.07.22,"28,100","1,250","945,219"
21,2020.07.21,"26,850",200,"2,413,828"
22,2020.07.20,"26,650","2,450","1,746,879"
23,2020.07.17,"24,200",50,"104,203"
24,2020.07.16,"24,250",50,"91,310"
25,2020.07.15,"24,300",850,"213,327"
26,2020.07.14,"25,150",350,"306,954"
27,2020.07.13,"25,500","2,050","909,171"
28,2020.07.10,"23,450",150,"297,649"
29,2020.07.09,"23,300",0,"116,123"
30,2020.07.08,"23,300",800,"137,692"
31,2020.07.07,"24,100",250,"85,994"
32,2020.07.06,"24,350",300,"90,878"
33,2020.07.03,"24,050",150,"56,512"
34,2020.07.02,"24,200",200,"109,633"
35,2020.07.01,"24,000",0,"92,667"
36,2020.06.30,"24,000",50,"82,090"
37,2020.06.29,"23,950",0,"106,468"
38,2020.06.26,"23,950",250,"67,941"
39,2020.06.25,"24,200",100,"101,087"
40,2020.06.24,"24,300",100,"96,735"
41,2020.06.23,"24,400",100,"132,492"
42,2020.06.22,"24,500",500,"269,292"
43,2020.06.19,"24,000",900,"163,523"
44,2020.06.18,"24,900",550,"276,301"
45,2020.06.17,"24,350",100,"182,455"
46,2020.06.16,"24,250","1,550","174,436"
47,2020.06.15,"22,700","1,400","261,090"
48,2020.06.12,"24,100",150,"243,192"
49,2020.06.11,"24,250",200,"427,249"
50,2020.06.10,"24,050",300,"310,468"
51,2020.06.09,"23,750","1,050","260,563"
52,2020.06.08,"22,700",250,"81,690"
53,2020.06.05,"22,950",450,"101,252"
54,2020.06.04,"22,500",50,"109,763"
55,2020.06.03,"22,550",300,"115,275"
56,2020.06.02,"22,850",750,"108,385"
57,2020.06.01,"22,100",700,"78,123"
58,2020.05.29,"21,400","1,350","157,310"
59,2020.05.28,"22,750",600,"106,991"
60,2020.05.27,"23,350",600,"133,574"
61,2020.05.26,"22,750",250,"101,922"
62,2020.05.25,"22,500",0,"76,104"
63,2020.05.22,"22,500",300,"165,116"
64,2020.05.21,"22,800",300,"290,138"
65,2020.05.20,"22,500",500,"112,112"
66,2020.05.19,"23,000",800,"137,433"
67,2020.05.18,"23,800",50,"146,810"
68,2020.05.15,"23,750",650,"363,860"
69,2020.05.14,"23,100",200,"164,017"
70,2020.05.13,"23,300",450,"436,685"
71,2020.05.12,"22,850",150,"179,862"
72,2020.05.11,"23,000","1,500","268,259"
73,2020.05.08,"21,500",550,"150,077"
74,2020.05.07,"20,950",50,"74,184"
75,2020.05.06,"21,000",750,"80,736"
76,2020.05.04,"20,250",800,"122,452"
77,2020.04.29,"21,050",0,"77,293"
78,2020.04.28,"21,050",350,"91,865"
79,2020.04.27,"21,400",0,"94,842"
80,2020.04.24,"21,400",500,"133,925"
81,2020.04.23,"20,900",250,"95,910"
82,2020.04.22,"20,650",100,"88,581"
83,2020.04.21,"20,550",800,"141,487"
84,2020.04.20,"21,350",100,"124,467"
85,2020.04.17,"21,250",0,"131,734"
86,2020.04.16,"21,250",650,"135,813"
87,2020.04.14,"21,900",400,"145,514"
88,2020.04.13,"22,300",500,"144,581"
89,2020.04.10,"22,800",200,"369,369"
90,2020.04.09,"23,000",100,"172,156"
91,2020.04.08,"23,100","1,600","561,944"
92,2020.04.07,"24,700","2,550","1,813,993"
93,2020.04.06,"22,150",850,"319,293"
94,2020.04.03,"21,300",800,"208,792"
95,2020.04.02,"22,100","1,100","585,409"
96,2020.04.01,"21,000","1,050","1,011,400"
97,2020.03.31,"19,950","1,400","389,164"
98,2020.03.30,"18,550",800,"359,972"
99,2020.03.27,"17,750",550,"185,230"
100,2020.03.26,"17,200",200,"369,241"
101,2020.03.25,"17,000",450,"112,250"
102,2020.03.24,"16,550",700,"92,592"
103,2020.03.23,"15,850","1,650","100,497"
104,2020.03.20,"17,500","2,600","105,034"
105,2020.03.19,"14,900","1,800","175,614"
106,2020.03.18,"16,700",350,"86,208"
107,2020.03.17,"17,050",300,"96,603"
108,2020.03.16,"16,750",50,"111,748"
109,2020.03.13,"16,700",400,"485,105"
110,2020.03.12,"17,100",750,"165,373"
111,2020.03.11,"17,850",550,"72,981"
112,2020.03.10,"18,400",200,"84,719"
113,2020.03.09,"18,600",200,"84,493"
114,2020.03.06,"18,400",150,"70,476"
115,2020.03.05,"18,550",250,"83,572"
116,2020.03.04,"18,300",350,"118,793"
117,2020.03.03,"17,950",50,"56,262"
118,2020.03.02,"17,900",350,"48,066"
119,2020.02.28,"17,550",550,"64,647"
120,2020.02.27,"18,100",150,"57,111"
121,2020.02.26,"17,950",0,"64,832"
122,2020.02.25,"17,950",250,"70,215"
123,2020.02.24,"17,700",900,"69,271"
124,2020.02.21,"18,600",550,"45,666"
125,2020.02.20,"19,150",700,"67,118"
126,2020.02.19,"19,850",0,"43,473"
127,2020.02.18,"19,850",450,"75,201"
128,2020.02.17,"20,300",0,"33,481"
129,2020.02.14,"20,300",100,"48,167"
130,2020.02.13,"20,200",100,"64,474"
131,2020.02.12,"20,300",50,"42,400"
132,2020.02.11,"20,350",350,"34,236"
133,2020.02.10,"20,000",200,"41,424"
134,2020.02.07,"19,800",150,"51,697"
135,2020.02.06,"19,950",450,"45,963"
136,2020.02.05,"19,500",100,"65,669"
137,2020.02.04,"19,600",100,"76,132"
138,2020.02.03,"19,700",750,"92,784"
139,2020.01.31,"20,450",500,"49,893"
140,2020.01.30,"20,950",50,"46,969"
