,date,종가,전일비,거래량
0,2020.08.20,"16,100","1,050","136,947"
1,2020.08.19,"17,150",250,"71,958"
2,2020.08.18,"16,900",950,"125,778"
3,2020.08.14,"17,850",0,"170,832"
4,2020.08.13,"17,850",350,"117,669"
5,2020.08.12,"18,200",200,"121,507"
6,2020.08.11,"18,400",100,"85,948"
7,2020.08.10,"18,300",350,"150,876"
8,2020.08.07,"17,950",50,"102,030"
9,2020.08.06,"17,900","1,000","416,672"
10,2020.08.05,"18,900",700,"441,644"
11,2020.08.04,"18,200",200,"221,675"
12,2020.08.03,"18,000",650,"277,824"
13,2020.07.31,"17,350",100,"58,410"
14,2020.07.30,"17,250",250,"78,262"
15,2020.07.29,"17,500",150,"57,382"
16,2020.07.28,"17,650",300,"146,061"
17,2020.07.27,"17,950",250,"150,605"
18,2020.07.24,"18,200",850,"434,998"
19,2020.07.23,"17,350",250,"107,942"
20,2020.07.22,"17,600",400,"114,124"
21,2020.07.21,"17,200",200,"89,526"
22,2020.07.20,"17,400",100,"123,705"
23,2020.07.17,"17,300",250,"87,169"
24,2020.07.16,"17,550",150,"156,779"
25,2020.07.15,"17,400",700,"290,007"
26,2020.07.14,"18,100",300,"477,554"
27,2020.07.13,"17,800",200,"227,527"
28,2020.07.10,"17,600",100,"198,687"
29,2020.07.09,"17,500",450,"247,463"
30,2020.07.08,"17,950",100,"401,504"
31,2020.07.07,"18,050",650,"487,499"
32,2020.07.06,"18,700",100,"768,948"
33,2020.07.03,"18,800",200,"3,035,780"
34,2020.07.02,"19,000","4,350","5,973,221"
35,2020.07.01,"14,650",400,"214,448"
36,2020.06.30,"15,050",950,"347,077"
37,2020.06.29,"14,100",400,"25,000"
38,2020.06.26,"14,500",100,"30,515"
39,2020.06.25,"14,400",100,"41,717"
40,2020.06.24,"14,500",50,"94,112"
41,2020.06.23,"14,550",350,"61,421"
42,2020.06.22,"14,900",650,"142,620"
43,2020.06.19,"15,550","1,000","302,871"
44,2020.06.18,"14,550",150,"45,167"
45,2020.06.17,"14,400",100,"52,842"
46,2020.06.16,"14,300",400,"63,309"
47,2020.06.15,"13,900",900,"119,571"
48,2020.06.12,"14,800",450,"128,880"
49,2020.06.11,"15,250",300,"686,142"
50,2020.06.10,"15,550",700,"117,218"
51,2020.06.09,"14,850",150,"34,099"
