,date,종가,전일비,거래량
0,2020.08.20,"40,400","2,250","3,998,251"
1,2020.08.19,"38,150","2,800","3,587,310"
2,2020.08.18,"40,950","4,050","7,303,152"
3,2020.08.14,"36,900","2,300","1,883,709"
4,2020.08.13,"39,200","1,600","2,573,847"
5,2020.08.12,"40,800","4,950","7,770,591"
6,2020.08.11,"45,750","5,950","3,079,780"
7,2020.08.10,"51,700",900,"1,082,796"
8,2020.08.07,"52,600",100,"1,344,651"
9,2020.08.06,"52,700",0,"3,804,597"
10,2020.08.05,"52,700","2,750","3,128,020"
11,2020.08.04,"49,950","3,550","2,697,695"
12,2020.08.03,"53,500","1,200","5,008,679"
13,2020.07.31,"52,300","1,500","8,138,560"
14,2020.07.30,"53,800","10,800","15,906,920"
15,2020.07.29,"43,000","1,050","3,899,731"
16,2020.07.28,"41,950",700,"2,739,123"
17,2020.07.27,"41,250",800,"7,424,146"
18,2020.07.24,"40,450","1,200","17,489,204"
19,2020.07.23,"39,250","9,050","9,575,882"
20,2020.07.22,"30,200","1,150","4,167,002"
21,2020.07.21,"29,050",0,"2,323,650"
22,2020.07.20,"29,050","1,200","3,774,890"
23,2020.07.17,"27,850","1,250","2,533,409"
24,2020.07.16,"26,600",850,"3,038,256"
25,2020.07.15,"25,750","2,150","1,795,224"
26,2020.07.14,"27,900",100,"2,296,732"
27,2020.07.13,"28,000","1,750","7,799,433"
28,2020.07.10,"26,250","3,000","14,617,851"
29,2020.07.09,"23,250",100,"865,712"
30,2020.07.08,"23,350",950,"2,458,631"
31,2020.07.07,"22,400",300,"1,329,918"
32,2020.07.06,"22,700",650,"1,551,570"
33,2020.07.03,"22,050",850,"6,256,409"
34,2020.07.02,"21,200",250,"704,892"
35,2020.07.01,"20,950",650,"781,358"
36,2020.06.30,"21,600","1,600","1,376,974"
37,2020.06.29,"23,200",300,"1,903,399"
38,2020.06.26,"23,500","1,900","3,028,728"
39,2020.06.25,"25,400",0,"16,603,096"
40,2020.06.24,"25,400","5,850","10,579,601"
41,2020.06.23,"19,550",650,"709,443"
42,2020.06.22,"20,200",700,"1,888,928"
43,2020.06.19,"19,500",250,"1,470,698"
44,2020.06.18,"19,250","1,000","1,173,865"
45,2020.06.17,"20,250","1,400","971,518"
46,2020.06.16,"21,650",650,"1,425,179"
47,2020.06.15,"21,000","1,300","1,421,044"
48,2020.06.12,"22,300",0,"2,236,042"
49,2020.06.11,"22,300",250,"869,232"
50,2020.06.10,"22,550",150,"597,937"
51,2020.06.09,"22,700",700,"813,065"
52,2020.06.08,"23,400",450,"1,510,376"
53,2020.06.05,"22,950",200,"648,032"
54,2020.06.04,"23,150",350,"1,760,503"
55,2020.06.03,"22,800","2,600","2,297,063"
56,2020.06.02,"25,400","2,200","2,162,837"
57,2020.06.01,"27,600",150,"1,999,279"
58,2020.05.29,"27,450",250,"1,296,267"
59,2020.05.28,"27,700","1,350","2,574,351"
60,2020.05.27,"26,350",900,"1,648,214"
61,2020.05.26,"27,250",850,"999,770"
62,2020.05.25,"28,100",400,"1,448,964"
63,2020.05.22,"27,700",350,"1,574,879"
64,2020.05.21,"27,350",650,"1,673,933"
65,2020.05.20,"28,000",0,"2,911,214"
66,2020.05.19,"28,000","3,100","3,973,727"
67,2020.05.18,"31,100","2,050","5,823,422"
68,2020.05.15,"29,050","2,450","8,538,383"
69,2020.05.14,"31,500","5,950","17,215,551"
70,2020.05.13,"25,550",700,"3,931,761"
71,2020.05.12,"24,850","2,900","10,473,666"
72,2020.05.11,"21,950",450,"1,256,371"
73,2020.05.08,"22,400",900,"2,626,230"
74,2020.05.07,"21,500",0,"1,445,332"
75,2020.05.06,"21,500","1,350","2,699,137"
76,2020.05.04,"22,850","2,200","3,365,920"
77,2020.04.29,"25,050",0,"2,906,210"
78,2020.04.28,"25,050",450,"2,152,940"
79,2020.04.27,"25,500","1,150","3,729,533"
80,2020.04.24,"24,350","3,300","8,400,496"
81,2020.04.23,"21,050","1,100","3,627,243"
82,2020.04.22,"19,950",550,"2,328,114"
83,2020.04.21,"19,400","1,300","5,777,624"
84,2020.04.20,"18,100","1,900","4,125,696"
85,2020.04.17,"16,200",350,"1,679,675"
86,2020.04.16,"16,550",200,"6,136,693"
87,2020.04.14,"16,350",300,"5,135,709"
88,2020.04.13,"16,050","2,750","3,004,457"
89,2020.04.10,"18,800","1,900","2,368,793"
90,2020.04.09,"20,700",450,"1,662,284"
91,2020.04.08,"21,150","1,100","3,244,388"
92,2020.04.07,"22,250","1,650","3,343,816"
93,2020.04.06,"23,900",100,"3,985,706"
94,2020.04.03,"24,000","3,000","13,289,844"
95,2020.04.02,"21,000","1,050","3,472,933"
96,2020.04.01,"19,950","3,300","5,099,349"
97,2020.03.31,"23,250","1,500","4,569,191"
98,2020.03.30,"24,750","1,150","7,425,683"
99,2020.03.27,"23,600",0,0
100,2020.03.26,"23,600","3,050","19,227,803"
101,2020.03.25,"20,550","4,050","20,183,421"
102,2020.03.24,"16,500",150,"9,870,266"
103,2020.03.23,"16,350","1,500","4,372,070"
104,2020.03.20,"17,850",350,"7,775,917"
105,2020.03.19,"17,500",0,0
106,2020.03.18,"17,500","1,450","12,430,625"
107,2020.03.17,"16,050","3,700","9,356,677"
108,2020.03.16,"12,350",400,"9,345,401"
109,2020.03.13,"11,950","2,950","4,358,043"
110,2020.03.12,"14,900",800,"5,089,036"
111,2020.03.11,"15,700","2,350","20,837,961"
112,2020.03.10,"13,350",850,"26,059,137"
113,2020.03.09,"14,200","3,250","13,111,103"
114,2020.03.06,"10,950","2,430","11,717,830"
115,2020.03.05,"8,520",890,"2,379,168"
116,2020.03.04,"9,410",150,"1,206,979"
117,2020.03.03,"9,560",270,"1,650,921"
118,2020.03.02,"9,830",50,"2,510,117"
119,2020.02.28,"9,780",190,"3,791,966"
120,2020.02.27,"9,590",10,"4,709,180"
121,2020.02.26,"9,600",470,"6,125,726"
122,2020.02.25,"9,130","1,670","4,488,283"
123,2020.02.24,"10,800","2,350","11,469,809"
124,2020.02.21,"13,150","1,850","18,724,952"
125,2020.02.20,"11,300","2,570","7,751,329"
126,2020.02.19,"8,730","1,270","11,425,259"
127,2020.02.18,"7,460",440,"8,283,984"
128,2020.02.17,"7,020",180,"841,043"
129,2020.02.14,"7,200",200,"1,502,053"
130,2020.02.13,"7,000",60,"3,120,169"
131,2020.02.12,"6,940",560,"3,838,555"
132,2020.02.11,"7,500",550,"1,869,531"
133,2020.02.10,"8,050",330,"6,314,503"
134,2020.02.07,"7,720",490,"16,662,769"
135,2020.02.06,"8,210",640,"17,422,282"
136,2020.02.05,"7,570",870,"10,691,962"
137,2020.02.04,"6,700",860,"940,912"
138,2020.02.03,"5,840","1,400","913,361"
139,2020.01.31,"7,240","1,100","1,213,237"
140,2020.01.30,"8,340",690,"18,837,526"
141,2020.01.29,"7,650",730,"10,735,363"
142,2020.01.28,"6,920","1,350","5,619,032"
143,2020.01.23,"5,570",200,"1,042,188"
144,2020.01.22,"5,370",140,"52,217"
145,2020.01.21,"5,230",70,"25,818"
146,2020.01.20,"5,300",80,"53,671"
147,2020.01.17,"5,380",20,"69,334"
148,2020.01.16,"5,400",20,"77,482"
149,2020.01.15,"5,420",20,"62,864"
150,2020.01.14,"5,440",20,"59,178"
151,2020.01.13,"5,420",50,"67,848"
152,2020.01.10,"5,370",230,"138,752"
153,2020.01.09,"5,140",190,"69,858"
154,2020.01.08,"4,950",300,"128,855"
155,2020.01.07,"5,250",170,"75,432"
156,2020.01.06,"5,080",160,"97,928"
157,2020.01.03,"5,240",50,"73,988"
158,2020.01.02,"5,290",130,"133,235"
159,,,,
