,date,종가,전일비,거래량
0,2020.08.20,"20,350",800,"752,020"
1,2020.08.19,"21,150",0,"584,428"
2,2020.08.18,"21,150",200,"709,888"
3,2020.08.14,"20,950",100,"581,745"
4,2020.08.13,"21,050",550,"462,477"
5,2020.08.12,"21,600",850,"706,899"
6,2020.08.11,"22,450",100,"2,818,662"
7,2020.08.10,"22,350",750,"462,067"
8,2020.08.07,"21,600",550,"542,027"
9,2020.08.06,"22,150",450,"812,664"
10,2020.08.05,"21,700",800,"684,396"
11,2020.08.04,"22,500",300,"1,174,580"
12,2020.08.03,"22,200","1,150","1,492,251"
13,2020.07.31,"21,050","1,300","1,505,991"
14,2020.07.30,"22,350","2,050","2,299,691"
15,2020.07.29,"20,300",250,"516,685"
16,2020.07.28,"20,050",300,"315,371"
17,2020.07.27,"19,750",500,"553,092"
18,2020.07.24,"20,250",300,"602,477"
19,2020.07.23,"20,550",550,"1,919,807"
20,2020.07.22,"20,000",50,"444,976"
21,2020.07.21,"20,050",50,"319,013"
22,2020.07.20,"20,000",400,"756,683"
23,2020.07.17,"19,600","1,100","642,575"
24,2020.07.16,"18,500",500,"289,368"
25,2020.07.15,"19,000",750,"393,398"
26,2020.07.14,"19,750",650,"836,469"
27,2020.07.13,"19,100",250,"523,286"
28,2020.07.10,"18,850","1,200","1,079,650"
29,2020.07.09,"17,650",500,"257,027"
30,2020.07.08,"18,150",150,"223,079"
31,2020.07.07,"18,000",350,"163,431"
32,2020.07.06,"18,350",100,"213,167"
33,2020.07.03,"18,250",750,"500,325"
34,2020.07.02,"17,500",400,"283,383"
35,2020.07.01,"17,100",250,"285,973"
36,2020.06.30,"17,350","1,050","451,109"
37,2020.06.29,"18,400",200,"257,270"
38,2020.06.26,"18,600",50,"314,149"
39,2020.06.25,"18,550",850,"552,121"
40,2020.06.24,"19,400",450,"380,634"
41,2020.06.23,"18,950",300,"406,183"
42,2020.06.22,"18,650",50,"630,567"
43,2020.06.19,"18,700",600,"628,923"
44,2020.06.18,"19,300",950,"647,477"
45,2020.06.17,"20,250",650,"663,944"
46,2020.06.16,"20,900",300,"592,309"
47,2020.06.15,"20,600","1,700","1,572,695"
48,2020.06.12,"22,300","1,000","2,403,488"
49,2020.06.11,"21,300",700,"844,252"
50,2020.06.10,"22,000","1,300","565,715"
51,2020.06.09,"20,700",650,"418,585"
52,2020.06.08,"21,350",300,"404,661"
53,2020.06.05,"21,050",150,"251,509"
54,2020.06.04,"21,200",500,"292,706"
55,2020.06.03,"21,700",350,"774,708"
56,2020.06.02,"21,350",200,"522,395"
57,2020.06.01,"21,550",500,"809,778"
58,2020.05.29,"22,050","1,350","1,202,456"
59,2020.05.28,"20,700",250,"891,983"
60,2020.05.27,"20,950",750,"535,152"
61,2020.05.26,"21,700",100,"339,518"
62,2020.05.25,"21,800",300,"760,988"
63,2020.05.22,"21,500",350,"645,012"
64,2020.05.21,"21,150",150,"492,734"
65,2020.05.20,"21,000",200,"740,415"
66,2020.05.19,"20,800","2,200","1,305,708"
67,2020.05.18,"23,000",100,"1,788,243"
68,2020.05.15,"22,900",900,"3,121,862"
69,2020.05.14,"22,000","1,200","3,700,517"
70,2020.05.13,"20,800",750,"554,932"
71,2020.05.12,"21,550",850,"1,029,106"
72,2020.05.11,"20,700",400,"510,612"
73,2020.05.08,"20,300",250,"506,119"
74,2020.05.07,"20,050",450,"475,569"
75,2020.05.06,"19,600","1,850","1,240,243"
76,2020.05.04,"21,450","1,650","630,175"
77,2020.04.29,"23,100",650,"1,097,625"
78,2020.04.28,"22,450","1,950","1,289,031"
79,2020.04.27,"24,400","1,100","1,286,718"
80,2020.04.24,"23,300",150,"1,765,202"
81,2020.04.23,"23,150",100,"2,255,265"
82,2020.04.22,"23,250","3,350","5,437,254"
83,2020.04.21,"19,900",750,"1,431,996"
84,2020.04.20,"20,650",700,"1,204,925"
85,2020.04.17,"19,950","1,000","890,337"
86,2020.04.16,"18,950",800,"561,968"
87,2020.04.14,"19,750",700,"719,884"
88,2020.04.13,"19,050",500,"785,772"
89,2020.04.10,"19,550",750,"1,321,681"
90,2020.04.09,"20,300",300,"1,228,509"
91,2020.04.08,"20,600","1,350","1,775,029"
92,2020.04.07,"21,950",200,"3,450,225"
93,2020.04.06,"21,750","2,650","8,302,079"
94,2020.04.03,"19,100",100,"2,359,369"
95,2020.04.02,"19,200",850,"3,561,347"
96,2020.04.01,"18,350","3,650","3,872,224"
97,2020.03.31,"22,000","5,050","7,804,917"
98,2020.03.30,"16,950","2,600","5,543,961"
99,2020.03.27,"14,350",250,"8,096,469"
100,2020.03.26,"14,600","1,250","6,576,875"
101,2020.03.25,"13,350","1,800","4,927,666"
102,2020.03.24,"11,550",450,"1,302,609"
103,2020.03.23,"11,100",50,"1,242,903"
104,2020.03.20,"11,150",350,"1,354,425"
105,2020.03.19,"10,800",400,"1,832,904"
106,2020.03.18,"10,400",800,"2,940,627"
107,2020.03.17,"11,200",950,"2,859,806"
108,2020.03.16,"10,250",150,"1,664,677"
109,2020.03.13,"10,100","2,450","2,257,802"
110,2020.03.12,"12,550",750,"2,333,903"
111,2020.03.11,"11,800",250,"2,404,591"
112,2020.03.10,"12,050","1,950","4,200,281"
113,2020.03.09,"14,000","1,450","12,180,263"
114,2020.03.06,"12,550",700,"6,670,292"
115,2020.03.05,"11,850",400,"1,218,577"
116,2020.03.04,"11,450",200,"601,902"
117,2020.03.03,"11,650",250,"1,019,408"
118,2020.03.02,"11,900",0,"1,931,682"
119,2020.02.28,"11,900",400,"1,211,176"
120,2020.02.27,"12,300",250,"3,159,896"
121,2020.02.26,"12,050","1,050","2,415,416"
122,2020.02.25,"11,000",250,"731,519"
123,2020.02.24,"10,750",900,"1,848,170"
124,2020.02.21,"11,650",800,"2,319,613"
125,2020.02.20,"12,450",700,"8,260,086"
126,2020.02.19,"11,750",750,"2,047,400"
127,2020.02.18,"11,000",450,"1,836,549"
128,2020.02.17,"10,550",50,"552,691"
129,2020.02.14,"10,600",300,"547,817"
130,2020.02.13,"10,900",0,"838,092"
131,2020.02.12,"10,900",650,"787,097"
132,2020.02.11,"11,550",900,"1,082,881"
133,2020.02.10,"12,450",250,"2,142,774"
134,2020.02.07,"12,200",200,"1,396,225"
135,2020.02.06,"12,400",250,"2,904,547"
136,2020.02.05,"12,150",200,"3,474,706"
137,2020.02.04,"11,950",300,"5,488,307"
138,2020.02.03,"11,650","2,250","3,851,156"
139,2020.01.31,"13,900","3,000","4,422,821"
140,2020.01.30,"16,900",0,"6,568,559"
141,2020.01.29,"16,900",0,"13,472,788"
142,2020.01.28,"16,900","3,900","213,316"
143,2020.01.23,"13,000","3,000","3,036,261"
144,2020.01.22,"10,000",260,"238,847"
145,2020.01.21,"9,740",410,"263,251"
146,2020.01.20,"10,150",630,"591,332"
147,2020.01.17,"9,520",80,"40,987"
148,2020.01.16,"9,440",20,"32,879"
149,2020.01.15,"9,460",20,"37,602"
150,2020.01.14,"9,480",20,"36,947"
151,2020.01.13,"9,500",100,"46,650"
152,2020.01.10,"9,400",130,"40,069"
153,2020.01.09,"9,270",240,"61,674"
154,2020.01.08,"9,030",260,"162,727"
155,2020.01.07,"9,290",40,"39,833"
156,2020.01.06,"9,250",340,"121,482"
157,2020.01.03,"9,590",130,"65,805"
158,2020.01.02,"9,720",70,"53,377"
159,,,,
