,date,종가,전일비,거래량
159,2020.01.02,"7,140",+110,"71,430"
158,2020.01.03,"7,100",-40,"93,789"
157,2020.01.06,"6,800",-300,"66,739"
156,2020.01.07,"6,840",+40,"29,730"
155,2020.01.08,"6,460",-380,"114,685"
154,2020.01.09,"6,720",+260,"85,191"
153,2020.01.10,"6,800",+80,"54,539"
152,2020.01.13,"6,850",+50,"69,904"
151,2020.01.14,"6,820",-30,"36,654"
150,2020.01.15,"6,770",-50,"30,220"
149,2020.01.16,"6,770",0,"67,658"
148,2020.01.17,"6,780",+10,"37,177"
147,2020.01.20,"6,900",+120,"304,709"
146,2020.01.21,"6,670",-230,"111,056"
145,2020.01.22,"6,870",+200,"101,214"
144,2020.01.23,"7,070",+200,"457,895"
143,2020.01.28,"7,400",+330,"672,154"
142,2020.01.29,"7,190",-210,"244,499"
141,2020.01.30,"7,190",0,"1,578,651"
140,2020.01.31,"6,760",-430,"480,574"
139,2020.02.03,"6,500",-260,"167,537"
138,2020.02.04,"6,620",+120,"111,013"
137,2020.02.05,"6,690",+70,"76,331"
136,2020.02.06,"6,910",+220,"167,417"
135,2020.02.07,"7,020",+110,"83,513"
134,2020.02.10,"6,890",-130,"81,942"
133,2020.02.11,"6,930",+40,"128,589"
132,2020.02.12,"6,890",-40,"157,589"
131,2020.02.13,"6,980",+90,"746,742"
130,2020.02.14,"6,860",-120,"115,482"
129,2020.02.17,"6,760",-100,"75,101"
128,2020.02.18,"6,800",+40,"57,991"
127,2020.02.19,"6,750",-50,"103,578"
126,2020.02.20,"6,950",+200,"172,609"
125,2020.02.21,"6,790",-160,"71,463"
124,2020.02.24,"6,650",-140,"394,849"
123,2020.02.25,"6,570",-80,"137,952"
122,2020.02.26,"6,390",-180,"131,788"
121,2020.02.27,"6,460",+70,"266,501"
120,2020.02.28,"6,060",-400,"175,440"
119,2020.03.02,"6,150",+90,"69,248"
118,2020.03.03,"6,340",+190,"90,256"
117,2020.03.04,"6,410",+70,"79,672"
116,2020.03.05,"6,590",+180,"137,654"
115,2020.03.06,"6,600",+10,"68,870"
114,2020.03.09,"6,370",-230,"83,281"
113,2020.03.10,"6,200",-170,"190,255"
112,2020.03.11,"6,010",-190,"108,249"
111,2020.03.12,"5,400",-610,"173,240"
110,2020.03.13,"4,845",-555,"330,345"
109,2020.03.16,"5,030",+185,"529,400"
108,2020.03.17,"5,270",+240,"444,773"
107,2020.03.18,"4,960",-310,"191,579"
106,2020.03.19,"5,800",+840,"4,753,677"
105,2020.03.20,"5,750",-50,"1,146,675"
104,2020.03.23,"6,140",+390,"1,877,829"
103,2020.03.24,"6,140",0,"1,158,851"
102,2020.03.25,"6,300",+160,"997,605"
101,2020.03.26,"7,150",+850,"3,715,122"
100,2020.03.27,"7,150",0,"2,558,545"
99,2020.03.30,"7,840",+690,"1,253,444"
98,2020.03.31,"7,510",-330,"1,159,610"
97,2020.04.01,"7,540",+30,"1,190,650"
96,2020.04.02,"7,310",-230,"406,952"
95,2020.04.03,"7,300",-10,"351,844"
94,2020.04.06,"7,810",+510,"759,406"
93,2020.04.07,"7,840",+30,"528,871"
92,2020.04.08,"7,950",+110,"2,150,946"
91,2020.04.09,"7,830",-120,"502,324"
90,2020.04.10,"7,450",-380,"450,872"
89,2020.04.13,"7,180",-270,"247,593"
88,2020.04.14,"7,300",+120,"202,660"
87,2020.04.16,"7,720",+420,"345,046"
86,2020.04.17,"7,780",+60,"262,236"
85,2020.04.20,"7,890",+110,"360,770"
84,2020.04.21,"7,640",-250,"485,882"
83,2020.04.22,"7,750",+110,"791,070"
82,2020.04.23,"7,660",-90,"235,723"
81,2020.04.24,"7,740",+80,"443,212"
80,2020.04.27,"7,830",+90,"266,463"
79,2020.04.28,"7,700",-130,"217,344"
78,2020.04.29,"7,470",-230,"225,749"
77,2020.05.04,"7,400",-70,"135,752"
76,2020.05.06,"7,670",+270,"307,169"
75,2020.05.07,"7,840",+170,"1,191,942"
74,2020.05.08,"7,870",+30,"207,854"
73,2020.05.11,"7,920",+50,"403,283"
72,2020.05.12,"9,200","+1,280","7,183,222"
71,2020.05.13,"8,540",-660,"2,054,615"
70,2020.05.14,"8,540",0,"970,665"
69,2020.05.15,"8,260",-280,"374,749"
68,2020.05.18,"8,300",+40,"226,213"
67,2020.05.19,"8,170",-130,"193,393"
66,2020.05.20,"8,240",+70,"148,737"
65,2020.05.21,"8,110",-130,"218,011"
64,2020.05.22,"8,190",+80,"375,050"
63,2020.05.25,"8,210",+20,"142,312"
62,2020.05.26,"8,070",-140,"198,406"
61,2020.05.27,"7,780",-290,"367,593"
60,2020.05.28,"7,670",-110,"229,719"
59,2020.05.29,"7,610",-60,"100,417"
58,2020.06.01,"7,810",+200,"136,897"
57,2020.06.02,"7,960",+150,"159,464"
56,2020.06.03,"7,840",-120,"141,330"
55,2020.06.04,"7,750",-90,"85,368"
54,2020.06.05,"7,820",+70,"96,619"
