,date,종가,전일비,거래량
159,2020.01.02,"5,550",+70,"84,563"
158,2020.01.03,"5,450",-100,"75,732"
157,2020.01.06,"5,500",+50,"192,646"
156,2020.01.07,"5,520",+20,"148,813"
155,2020.01.08,"5,210",-310,"214,752"
154,2020.01.09,"5,290",+80,"95,871"
153,2020.01.10,"5,360",+70,"60,105"
152,2020.01.13,"5,390",+30,"38,185"
151,2020.01.14,"5,420",+30,"64,088"
150,2020.01.15,"5,360",-60,"56,678"
149,2020.01.16,"5,340",-20,"38,439"
148,2020.01.17,"5,350",+10,"63,326"
147,2020.01.20,"5,360",+10,"60,961"
146,2020.01.21,"5,580",+220,"1,114,361"
145,2020.01.22,"5,600",+20,"757,126"
144,2020.01.23,"5,960",+360,"330,190"
143,2020.01.28,"7,740","+1,780","5,221,506"
142,2020.01.29,"8,430",+690,"19,374,774"
141,2020.01.30,"8,290",-140,"7,264,165"
140,2020.01.31,"8,290",0,"4,816,347"
139,2020.02.03,"7,150","-1,140","4,015,537"
138,2020.02.04,"7,050",-100,"3,639,129"
137,2020.02.05,"7,020",-30,"2,515,370"
136,2020.02.06,"6,670",-350,"1,441,755"
135,2020.02.07,"6,670",0,"1,090,127"
134,2020.02.10,"6,400",-270,"605,098"
133,2020.02.11,"6,210",-190,"750,789"
132,2020.02.12,"6,370",+160,"2,577,549"
131,2020.02.13,"6,630",+260,"3,678,772"
130,2020.02.14,"6,320",-310,"789,095"
129,2020.02.17,"6,130",-190,"392,435"
128,2020.02.18,"6,280",+150,"1,624,896"
127,2020.02.19,"6,680",+400,"2,089,636"
126,2020.02.20,"6,980",+300,"6,345,025"
125,2020.02.21,"7,060",+80,"1,713,375"
124,2020.02.24,"6,500",-560,"1,732,431"
123,2020.02.25,"6,540",+40,"733,625"
122,2020.02.26,"6,960",+420,"5,730,256"
121,2020.02.27,"7,120",+160,"2,390,803"
120,2020.02.28,"7,100",-20,"923,202"
119,2020.03.02,"7,710",+610,"2,296,491"
118,2020.03.03,"7,530",-180,"1,135,383"
117,2020.03.04,"7,300",-230,"822,603"
116,2020.03.05,"7,750",+450,"1,079,347"
115,2020.03.06,"10,050","+2,300","7,148,435"
114,2020.03.09,"13,050","+3,000","10,825,527"
113,2020.03.10,"13,250",+200,"23,652,919"
112,2020.03.11,"14,500","+1,250","6,328,455"
111,2020.03.12,"13,600",-900,"2,695,020"
110,2020.03.13,"10,750","-2,850","3,783,938"
109,2020.03.16,"13,950","+3,200","8,621,417"
108,2020.03.17,"15,800","+1,850","12,861,416"
107,2020.03.18,"15,800",0,0
106,2020.03.19,"16,650",+850,"10,147,403"
105,2020.03.20,"17,350",+700,"9,456,846"
104,2020.03.23,"17,450",+100,"2,906,916"
103,2020.03.24,"16,350","-1,100","2,514,701"
102,2020.03.25,"21,250","+4,900","13,543,331"
101,2020.03.26,"27,600","+6,350","11,455,452"
100,2020.03.27,"29,350","+1,750","12,883,857"
99,2020.03.30,"29,350",0,0
98,2020.03.31,"32,250","+2,900","13,735,868"
97,2020.04.01,"29,450","-2,800","5,704,882"
96,2020.04.02,"24,450","-5,000","4,816,697"
95,2020.04.03,"25,250",+800,"5,017,510"
94,2020.04.06,"29,100","+3,850","4,456,202"
93,2020.04.07,"27,700","-1,400","3,255,313"
92,2020.04.08,"26,300","-1,400","4,366,797"
91,2020.04.09,"24,900","-1,400","1,599,909"
90,2020.04.10,"23,800","-1,100","1,953,509"
89,2020.04.13,"20,150","-3,650","2,985,294"
88,2020.04.14,"20,250",+100,"3,876,095"
87,2020.04.16,"19,000","-1,250","3,044,587"
86,2020.04.17,"18,200",-800,"1,545,558"
85,2020.04.20,"23,650","+5,450","11,345,384"
84,2020.04.21,"21,200","-2,450","4,832,711"
83,2020.04.22,"22,000",+800,"6,496,481"
82,2020.04.23,"21,500",-500,"1,301,470"
81,2020.04.24,"21,900",+400,"1,823,918"
80,2020.04.27,"23,050","+1,150","1,945,327"
79,2020.04.28,"22,650",-400,"1,272,055"
78,2020.04.29,"22,900",+250,"1,089,809"
77,2020.05.04,"21,900","-1,000","628,708"
76,2020.05.06,"20,900","-1,000","1,098,229"
75,2020.05.07,"20,900",0,"739,938"
74,2020.05.08,"21,900","+1,000","1,662,953"
73,2020.05.11,"22,000",+100,"982,066"
72,2020.05.12,"27,350","+5,350","13,140,525"
71,2020.05.13,"26,600",-750,"3,670,765"
70,2020.05.14,"31,300","+4,700","14,446,225"
69,2020.05.15,"32,950","+1,650","7,445,752"
68,2020.05.18,"33,000",+50,"3,602,517"
67,2020.05.19,"28,950","-4,050","3,094,667"
66,2020.05.20,"30,450","+1,500","5,425,833"
65,2020.05.21,"30,200",-250,"1,860,170"
64,2020.05.22,"30,800",+600,"1,543,203"
63,2020.05.25,"33,050","+2,250","2,942,222"
62,2020.05.26,"32,900",-150,"1,524,959"
61,2020.05.27,"32,150",-750,"1,610,930"
60,2020.05.28,"32,200",+50,"2,021,158"
59,2020.05.29,"31,450",-750,"1,027,496"
58,2020.06.01,"30,150","-1,300","1,385,059"
57,2020.06.02,"28,250","-1,900","1,838,794"
56,2020.06.03,"26,300","-1,950","1,555,676"
55,2020.06.04,"26,550",+250,"1,492,326"
54,2020.06.05,"26,550",0,"654,182"
53,2020.06.08,"26,900",+350,"1,125,221"
52,2020.06.09,"25,850","-1,050","763,021"
51,2020.06.10,"25,650",-200,"560,819"
50,2020.06.11,"25,350",-300,"841,116"
49,2020.06.12,"26,300",+950,"3,493,222"
48,2020.06.15,"26,000",-300,"1,349,100"
47,2020.06.16,"26,700",+700,"728,177"
46,2020.06.17,"24,650","-2,050","1,029,434"
45,2020.06.18,"22,750","-1,900","1,739,636"
44,2020.06.19,"22,900",+150,"1,333,723"
43,2020.06.22,"26,000","+3,100","4,042,548"
42,2020.06.23,"26,100",+100,"1,306,802"
41,2020.06.24,"26,500",+400,"1,757,700"
40,2020.06.25,"26,400",-100,"1,613,266"
39,2020.06.26,"26,000",-400,"564,198"
38,2020.06.29,"26,100",+100,"533,599"
37,2020.06.30,"24,950","-1,150","428,172"
36,2020.07.01,"24,150",-800,"338,343"
35,2020.07.02,"24,500",+350,"283,196"
34,2020.07.03,"25,650","+1,150","3,335,343"
33,2020.07.06,"25,900",+250,"599,841"
32,2020.07.07,"26,200",+300,"769,251"
31,2020.07.08,"26,850",+650,"1,206,974"
30,2020.07.09,"26,850",0,"546,756"
29,2020.07.10,"29,300","+2,450","7,932,563"
28,2020.07.13,"29,950",+650,"2,412,302"
27,2020.07.14,"29,000",-950,"1,199,629"
26,2020.07.15,"26,250","-2,750","1,265,963"
25,2020.07.16,"25,850",-400,"982,677"
24,2020.07.17,"26,000",+150,"471,657"
23,2020.07.20,"26,650",+650,"682,319"
22,2020.07.21,"26,450",-200,"678,638"
21,2020.07.22,"26,300",-150,"1,397,792"
20,2020.07.23,"29,550","+3,250","8,473,174"
19,2020.07.24,"29,700",+150,"3,521,351"
18,2020.07.27,"30,100",+400,"1,904,515"
17,2020.07.28,"30,250",+150,"3,759,037"
16,2020.07.29,"31,450","+1,200","2,063,164"
15,2020.07.30,"40,850","+9,400","4,554,924"
14,2020.07.31,"52,000","+11,150","13,384,172"
13,2020.08.03,"55,300","+3,300","7,811,643"
12,2020.08.04,"54,900",-400,"5,567,566"
11,2020.08.05,"54,500",-400,"2,106,083"
10,2020.08.06,"55,500","+1,000","2,608,882"
9,2020.08.07,"53,500","-2,000","1,304,810"
8,2020.08.10,"51,400","-2,100","1,131,023"
7,2020.08.11,"39,300","-12,100","8,174,639"
6,2020.08.12,"33,900","-5,400","6,624,131"
5,2020.08.13,"34,200",+300,"4,691,086"
4,2020.08.14,"31,400","-2,800","2,241,300"
3,2020.08.18,"38,500","+7,100","11,344,892"
2,2020.08.19,"38,450",-50,"10,261,227"
1,2020.08.20,"39,650","+1,200","5,865,879"
0,2020.08.21,"36,900","-2,750","1,774,140"
