,date,종가,전일비,거래량
0,2020.08.21,"11,850",-400,"241,073"
1,2020.08.20,"12,250",-600,"332,023"
2,2020.08.19,"12,850",-500,"359,092"
3,2020.08.18,"13,350",-450,"430,594"
4,2020.08.14,"13,800",+800,"485,965"
5,2020.08.13,"13,000",-400,"448,134"
6,2020.08.12,"13,400","-2,000","1,115,442"
7,2020.08.11,"15,400",+400,"491,077"
8,2020.08.10,"15,000",-50,"452,958"
9,2020.08.07,"15,050","-1,150","882,889"
10,2020.08.06,"16,200",-400,"1,291,079"
11,2020.08.05,"16,600","+3,150","4,771,714"
12,2020.08.04,"13,450","+1,450","987,356"
13,2020.08.03,"12,000",-50,"274,031"
14,2020.07.31,"12,050",-100,"315,721"
15,2020.07.30,"12,150","-1,000","632,332"
16,2020.07.29,"13,150",0,"376,261"
17,2020.07.28,"13,150",+50,"684,161"
18,2020.07.27,"13,100","+1,100","1,529,430"
19,2020.07.24,"12,000",+950,"1,591,425"
20,2020.07.23,"11,050",+150,"363,419"
21,2020.07.22,"10,900",+550,"301,711"
22,2020.07.21,"10,350",-100,"136,580"
23,2020.07.20,"10,450",-400,"152,056"
24,2020.07.17,"10,850",-250,"325,387"
25,2020.07.16,"11,100",+600,"370,707"
26,2020.07.15,"10,500",+300,"272,191"
27,2020.07.14,"10,200",-250,"114,255"
28,2020.07.13,"10,450",+50,"111,443"
29,2020.07.10,"10,400",+410,"286,079"
30,2020.07.09,"9,990",-110,"253,251"
31,2020.07.08,"10,100",-300,"164,710"
32,2020.07.07,"10,400",-150,"137,176"
33,2020.07.06,"10,550",-450,"167,372"
34,2020.07.03,"11,000",+400,"388,515"
35,2020.07.02,"10,600",+350,"211,220"
36,2020.07.01,"10,250",-600,"286,004"
37,2020.06.30,"10,850","-1,450","582,237"
38,2020.06.29,"12,300",+100,"600,620"
39,2020.06.26,"12,200",+300,"1,464,712"
40,2020.06.25,"11,900","+1,500","2,768,085"
41,2020.06.24,"10,400","+1,120","1,021,736"
42,2020.06.23,"9,280",-250,"193,227"
43,2020.06.22,"9,530",-80,"176,819"
44,2020.06.19,"9,610",-210,"228,050"
45,2020.06.18,"9,820",-530,"534,329"
46,2020.06.17,"10,350",-500,"437,421"
47,2020.06.16,"10,850","+1,350","706,540"
48,2020.06.15,"9,500","-1,850","941,099"
49,2020.06.12,"11,350","+1,150","2,164,065"
50,2020.06.11,"10,200",+390,"902,454"
51,2020.06.10,"9,810","+1,010","1,358,298"
52,2020.06.09,"8,800",+80,"155,255"
53,2020.06.08,"8,720",+220,"134,893"
54,2020.06.05,"8,500",0,"68,905"
55,2020.06.04,"8,500",+230,"136,062"
56,2020.06.03,"8,270",-210,"124,596"
57,2020.06.02,"8,480",+240,"127,506"
58,2020.06.01,"8,240",+150,"121,634"
59,2020.05.29,"8,090",-40,"121,123"
60,2020.05.28,"8,130",-430,"192,661"
61,2020.05.27,"8,560",-70,"76,103"
62,2020.05.26,"8,630",-170,"113,970"
63,2020.05.25,"8,800",+10,"92,001"
64,2020.05.22,"8,790",0,"82,154"
65,2020.05.21,"8,790",-60,"48,704"
66,2020.05.20,"8,850",+150,"96,458"
67,2020.05.19,"8,700",+260,"146,215"
68,2020.05.18,"8,440",-300,"89,441"
69,2020.05.15,"8,740",-210,"104,505"
70,2020.05.14,"8,950",-100,"108,256"
71,2020.05.13,"9,050",+50,"97,578"
72,2020.05.12,"9,000",-80,"78,483"
73,2020.05.11,"9,080",0,"127,546"
74,2020.05.08,"9,080",+200,"117,308"
75,2020.05.07,"8,880",-110,"90,938"
76,2020.05.06,"8,990",+300,"135,060"
77,2020.05.04,"8,690",-880,"193,068"
78,2020.04.29,"9,570",-180,"115,014"
79,2020.04.28,"9,750",0,"208,159"
80,2020.04.27,"9,750",-110,"196,017"
81,2020.04.24,"9,860",+160,"391,545"
82,2020.04.23,"9,700",+630,"575,898"
83,2020.04.22,"9,070",-370,"266,430"
84,2020.04.21,"9,440",-80,"969,469"
85,2020.04.20,"9,520",+720,"774,175"
86,2020.04.17,"8,800","+1,230","721,455"
87,2020.04.16,"7,570",+140,"125,317"
88,2020.04.14,"7,430",-130,"249,686"
89,2020.04.13,"7,560",-90,"167,476"
90,2020.04.10,"7,650",+370,"499,128"
91,2020.04.09,"7,280",-80,"132,461"
92,2020.04.08,"7,360",-270,"178,366"
93,2020.04.07,"7,630",-40,"181,492"
94,2020.04.06,"7,670",+110,"123,947"
95,2020.04.03,"7,560",-30,"155,395"
96,2020.04.02,"7,590",+540,"624,215"
97,2020.04.01,"7,050",-380,"495,162"
98,2020.03.31,"7,430",+430,"196,535"
99,2020.03.30,"7,000","+1,190","272,970"
100,2020.03.27,"5,810",+380,"213,444"
101,2020.03.26,"5,430",+630,"283,692"
102,2020.03.25,"4,800",+275,"116,050"
103,2020.03.24,"4,525",+205,"67,386"
104,2020.03.23,"4,320",-380,"87,659"
105,2020.03.20,"4,700",+300,"190,039"
106,2020.03.19,"4,400","-1,100","200,140"
107,2020.03.18,"5,500",-370,"154,567"
108,2020.03.17,"5,870",+50,"89,988"
109,2020.03.16,"5,820",-250,"131,412"
110,2020.03.13,"6,070",-720,"165,892"
111,2020.03.12,"6,790",-200,"75,805"
112,2020.03.11,"6,990",-460,"121,556"
113,2020.03.10,"7,450",-300,"159,756"
114,2020.03.09,"7,750",-530,"84,047"
115,2020.03.06,"8,280",-140,"75,796"
116,2020.03.05,"8,420",+370,"148,680"
117,2020.03.04,"8,050",+310,"68,304"
118,2020.03.03,"7,740",+100,"74,259"
119,2020.03.02,"7,640",+290,"170,973"
120,2020.02.28,"7,350",-560,"113,111"
121,2020.02.27,"7,910",-220,"93,990"
122,2020.02.26,"8,130",-120,"58,321"
123,2020.02.25,"8,250",+310,"111,161"
124,2020.02.24,"7,940",-650,"117,002"
125,2020.02.21,"8,590",-270,"74,596"
126,2020.02.20,"8,860",-70,"102,727"
127,2020.02.19,"8,930",+110,"228,420"
128,2020.02.18,"8,820",+320,"173,085"
129,2020.02.17,"8,500",-260,"224,024"
130,2020.02.14,"8,760",-380,"313,956"
131,2020.02.13,"9,140",-860,"1,366,885"
132,2020.02.12,"10,000","-1,200","1,694,727"
133,2020.02.11,"11,200",-250,"192,917"
134,2020.02.10,"11,450",+150,"175,377"
135,2020.02.07,"11,300",+850,"497,852"
136,2020.02.06,"10,450",-150,"80,584"
137,2020.02.05,"10,600",+920,"164,595"
138,2020.02.04,"9,680",+480,"34,572"
139,2020.02.03,"9,200",0,"60,178"
140,2020.01.31,"9,200",-720,"162,389"
141,2020.01.30,"9,920",-480,"118,212"
142,2020.01.29,"10,400",+100,"113,636"
143,2020.01.28,"10,300",-100,"103,436"
144,2020.01.23,"10,400",+100,"83,988"
145,2020.01.22,"10,300",0,"44,909"
146,2020.01.21,"10,300",-300,"68,945"
147,2020.01.20,"10,600",+350,"108,599"
148,2020.01.17,"10,250",-200,"87,179"
149,2020.01.16,"10,450",-100,"88,341"
150,2020.01.15,"10,550",0,"74,774"
