,date,종가,전일비,거래량
159,2020.01.02,"1,370",+15,"4,503,160"
158,2020.01.03,"1,370",0,"6,555,894"
157,2020.01.06,"1,270",-100,"4,383,454"
156,2020.01.07,"1,295",+25,"2,118,211"
155,2020.01.08,"1,205",-90,"4,636,336"
154,2020.01.09,"1,265",+60,"3,267,129"
153,2020.01.10,"1,325",+60,"10,413,474"
152,2020.01.13,"1,310",-15,"2,421,383"
151,2020.01.14,"1,280",-30,"2,276,708"
150,2020.01.15,"1,295",+15,"9,082,776"
149,2020.01.16,"1,395",+100,"36,427,952"
148,2020.01.17,"1,355",-40,"7,130,940"
147,2020.01.20,"1,330",-25,"3,744,826"
146,2020.01.21,"1,350",+20,"15,971,772"
145,2020.01.22,"1,440",+90,"23,151,411"
144,2020.01.23,"1,460",+20,"13,075,657"
143,2020.01.28,"1,665",+205,"60,976,419"
142,2020.01.29,"1,535",-130,"13,893,189"
141,2020.01.30,"1,450",-85,"16,340,747"
140,2020.01.31,"1,310",-140,"9,552,827"
139,2020.02.03,"1,255",-55,"5,859,399"
138,2020.02.04,"1,295",+40,"5,467,436"
137,2020.02.05,"1,315",+20,"6,419,632"
136,2020.02.06,"1,705",+390,"65,089,687"
135,2020.02.07,"1,640",-65,"123,122,098"
134,2020.02.10,"1,615",-25,"26,792,410"
133,2020.02.11,"1,575",-40,"22,250,346"
132,2020.02.12,"1,515",-60,"9,463,263"
131,2020.02.13,"1,510",-5,"25,907,815"
130,2020.02.14,"1,520",+10,"8,374,690"
129,2020.02.17,"1,440",-80,"10,865,828"
128,2020.02.18,"1,450",+10,"6,918,078"
127,2020.02.19,"1,500",+50,"6,944,112"
126,2020.02.20,"1,490",-10,"15,998,914"
125,2020.02.21,"1,445",-45,"8,673,544"
124,2020.02.24,"1,475",+30,"31,818,398"
123,2020.02.25,"1,480",+5,"7,669,184"
122,2020.02.26,"1,460",-20,"5,902,038"
121,2020.02.27,"1,500",+40,"29,659,366"
120,2020.02.28,"1,535",+35,"16,697,019"
119,2020.03.02,"1,535",0,"8,362,434"
118,2020.03.03,"1,600",+65,"15,382,290"
117,2020.03.04,"1,575",-25,"8,744,604"
116,2020.03.05,"1,595",+20,"19,515,461"
115,2020.03.06,"1,570",-25,"7,610,900"
114,2020.03.09,"1,460",-110,"9,779,158"
113,2020.03.10,"1,475",+15,"13,529,922"
112,2020.03.11,"1,485",+10,"23,547,862"
111,2020.03.12,"1,420",-65,"8,009,758"
110,2020.03.13,"1,270",-150,"9,407,730"
109,2020.03.16,"1,295",+25,"5,723,700"
108,2020.03.17,"1,300",+5,"4,852,777"
107,2020.03.18,"1,265",-35,"11,693,658"
106,2020.03.19,"1,125",-140,"7,959,248"
105,2020.03.20,"1,175",+50,"4,662,940"
104,2020.03.23,"1,165",-10,"9,179,931"
103,2020.03.24,"1,235",+70,"8,720,994"
102,2020.03.25,"1,270",+35,"8,479,680"
101,2020.03.26,"1,320",+50,"16,623,436"
100,2020.03.27,"1,525",+205,"62,684,188"
99,2020.03.30,"1,595",+70,"21,311,521"
98,2020.03.31,"1,675",+80,"41,171,669"
97,2020.04.01,"1,530",-145,"14,013,712"
96,2020.04.02,"1,575",+45,"13,327,946"
95,2020.04.03,"1,615",+40,"14,966,601"
94,2020.04.06,"1,695",+80,"26,116,200"
93,2020.04.07,"1,715",+20,"18,602,119"
92,2020.04.08,"1,680",-35,"19,178,252"
91,2020.04.09,"1,755",+75,"35,785,807"
90,2020.04.10,"1,660",-95,"17,018,766"
89,2020.04.13,"1,615",-45,"6,444,298"
88,2020.04.14,"1,610",-5,"6,453,961"
87,2020.04.16,"1,605",-5,"5,161,893"
