,date,종가,전일비,거래량
159,2020.01.02,"10,750",-50,"127,965"
158,2020.01.03,"10,350",-400,"152,003"
157,2020.01.06,"10,050",-300,"243,438"
156,2020.01.07,"10,200",+150,"95,258"
155,2020.01.08,"9,820",-380,"202,771"
154,2020.01.09,"10,200",+380,"93,478"
153,2020.01.10,"10,250",+50,"98,601"
152,2020.01.13,"10,050",-200,"93,982"
151,2020.01.14,"10,050",0,"85,332"
150,2020.01.15,"10,000",-50,"98,302"
149,2020.01.16,"10,050",+50,"82,421"
148,2020.01.17,"9,990",-60,"73,050"
147,2020.01.20,"9,570",-420,"154,396"
146,2020.01.21,"9,350",-220,"188,154"
145,2020.01.22,"9,760",+410,"197,533"
144,2020.01.23,"9,850",+90,"105,831"
143,2020.01.28,"9,700",-150,"146,067"
142,2020.01.29,"9,970",+270,"266,855"
141,2020.01.30,"9,590",-380,"109,699"
140,2020.01.31,"9,560",-30,"64,356"
139,2020.02.03,"9,600",+40,"96,477"
138,2020.02.04,"9,760",+160,"174,599"
137,2020.02.05,"9,720",-40,"106,915"
136,2020.02.06,"9,780",+60,"69,063"
135,2020.02.07,"9,780",0,"81,788"
134,2020.02.10,"9,710",-70,"55,325"
133,2020.02.11,"9,880",+170,"87,994"
132,2020.02.12,"10,100",+220,"127,996"
131,2020.02.13,"10,250",+150,"762,988"
130,2020.02.14,"10,150",-100,"134,692"
129,2020.02.17,"10,200",+50,"171,550"
128,2020.02.18,"10,250",+50,"113,830"
127,2020.02.19,"10,100",-150,"185,816"
126,2020.02.20,"9,900",-200,"132,203"
125,2020.02.21,"9,850",-50,"100,910"
124,2020.02.24,"9,460",-390,"167,189"
123,2020.02.25,"9,660",+200,"100,198"
122,2020.02.26,"10,050",+390,"118,868"
121,2020.02.27,"9,840",-210,"126,329"
120,2020.02.28,"9,420",-420,"121,378"
119,2020.03.02,"9,640",+220,"87,961"
118,2020.03.03,"9,680",+40,"80,217"
117,2020.03.04,"9,690",+10,"101,414"
116,2020.03.05,"9,780",+90,"124,704"
115,2020.03.06,"9,720",-60,"124,215"
114,2020.03.09,"9,330",-390,"142,598"
113,2020.03.10,"9,400",+70,"158,692"
112,2020.03.11,"8,800",-600,"256,372"
111,2020.03.12,"8,280",-520,"229,669"
110,2020.03.13,"7,280","-1,000","256,522"
109,2020.03.16,"7,000",-280,"179,590"
108,2020.03.17,"7,220",+220,"248,054"
107,2020.03.18,"6,510",-710,"255,706"
106,2020.03.19,"6,010",-500,"365,670"
105,2020.03.20,"6,700",+690,"248,782"
104,2020.03.23,"6,040",-660,"198,358"
103,2020.03.24,"7,100","+1,060","404,920"
102,2020.03.25,"7,650",+550,"246,150"
101,2020.03.26,"8,770","+1,120","1,220,759"
100,2020.03.27,"8,550",-220,"534,795"
99,2020.03.30,"9,920","+1,370","943,779"
98,2020.03.31,"10,000",+80,"571,029"
97,2020.04.01,"10,050",+50,"484,314"
96,2020.04.02,"10,650",+600,"465,942"
95,2020.04.03,"11,300",+650,"739,175"
94,2020.04.06,"11,500",+200,"263,775"
93,2020.04.07,"11,500",0,"446,900"
92,2020.04.08,"11,200",-300,"397,954"
91,2020.04.09,"11,400",+200,"317,907"
90,2020.04.10,"10,750",-650,"233,889"
89,2020.04.13,"10,250",-500,"330,742"
88,2020.04.14,"10,450",+200,"182,993"
87,2020.04.16,"11,050",+600,"686,230"
86,2020.04.17,"11,200",+150,"286,019"
85,2020.04.20,"11,700",+500,"264,976"
84,2020.04.21,"11,400",-300,"347,566"
83,2020.04.22,"11,200",-200,"189,659"
82,2020.04.23,"12,000",+800,"590,900"
81,2020.04.24,"12,400",+400,"728,169"
80,2020.04.27,"12,550",+150,"345,928"
79,2020.04.28,"12,200",-350,"210,325"
78,2020.04.29,"12,000",-200,"226,693"
77,2020.05.04,"11,950",-50,"145,463"
76,2020.05.06,"12,450",+500,"249,905"
75,2020.05.07,"12,600",+150,"259,300"
74,2020.05.08,"14,000","+1,400","930,673"
73,2020.05.11,"14,800",+800,"861,446"
72,2020.05.12,"15,100",+300,"405,266"
71,2020.05.13,"14,500",-600,"337,365"
70,2020.05.14,"14,550",+50,"605,710"
69,2020.05.15,"14,200",-350,"260,721"
68,2020.05.18,"14,100",-100,"208,849"
67,2020.05.19,"14,050",-50,"435,626"
66,2020.05.20,"14,300",+250,"225,155"
65,2020.05.21,"14,200",-100,"192,849"
64,2020.05.22,"14,400",+200,"321,382"
63,2020.05.25,"13,850",-550,"480,116"
62,2020.05.26,"13,550",-300,"472,040"
61,2020.05.27,"13,950",+400,"629,110"
60,2020.05.28,"13,600",-350,"449,643"
59,2020.05.29,"13,500",-100,"273,557"
58,2020.06.01,"13,900",+400,"450,388"
57,2020.06.02,"15,400","+1,500","2,479,693"
56,2020.06.03,"14,650",-750,"531,033"
55,2020.06.04,"14,250",-400,"291,033"
54,2020.06.05,"14,400",+150,"184,524"
53,2020.06.08,"14,550",+150,"364,352"
52,2020.06.09,"14,200",-350,"241,147"
51,2020.06.10,"15,050",+850,"569,424"
50,2020.06.11,"15,300",+250,"617,620"
49,2020.06.12,"15,500",+200,"661,723"
48,2020.06.15,"14,250","-1,250","695,315"
47,2020.06.16,"14,950",+700,"304,674"
46,2020.06.17,"14,800",-150,"280,657"
45,2020.06.18,"14,750",-50,"171,883"
44,2020.06.19,"13,250","-1,500","811,718"
43,2020.06.22,"13,850",+600,"442,362"
42,2020.06.23,"13,550",-300,"354,787"
41,2020.06.24,"13,900",+350,"305,262"
40,2020.06.25,"13,650",-250,"246,172"
39,2020.06.26,"13,250",-400,"345,418"
38,2020.06.29,"12,350",-900,"341,316"
37,2020.06.30,"12,400",+50,"235,063"
36,2020.07.01,"12,200",-200,"189,107"
35,2020.07.02,"12,350",+150,"139,842"
34,2020.07.03,"12,250",-100,"183,153"
33,2020.07.06,"12,350",+100,"224,581"
32,2020.07.07,"12,350",0,"172,456"
31,2020.07.08,"13,200",+850,"243,351"
30,2020.07.09,"13,550",+350,"210,179"
29,2020.07.10,"13,100",-450,"222,952"
28,2020.07.13,"13,300",+200,"123,340"
27,2020.07.14,"13,300",0,"118,085"
26,2020.07.15,"14,000",+700,"448,867"
25,2020.07.16,"14,000",0,"182,659"
24,2020.07.17,"14,200",+200,"173,508"
23,2020.07.20,"14,500",+300,"277,658"
22,2020.07.21,"14,900",+400,"593,319"
21,2020.07.22,"15,000",+100,"258,227"
20,2020.07.23,"15,200",+200,"261,360"
19,2020.07.24,"15,800",+600,"793,095"
18,2020.07.27,"15,200",-600,"326,856"
17,2020.07.28,"15,500",+300,"232,990"
16,2020.07.29,"15,750",+250,"519,505"
15,2020.07.30,"15,800",+50,"231,037"
14,2020.07.31,"16,050",+250,"250,546"
13,2020.08.03,"16,500",+450,"401,395"
12,2020.08.04,"16,850",+350,"1,350,930"
11,2020.08.05,"16,950",+100,"417,027"
10,2020.08.06,"17,600",+650,"406,549"
9,2020.08.07,"17,400",-200,"414,294"
8,2020.08.10,"18,400","+1,000","568,617"
7,2020.08.11,"18,250",-150,"397,711"
6,2020.08.12,"17,200","-1,050","606,043"
5,2020.08.13,"17,400",+200,"264,061"
4,2020.08.14,"17,200",-200,"332,344"
3,2020.08.18,"15,800","-1,400","435,180"
2,2020.08.19,"16,250",+450,"393,257"
1,2020.08.20,"15,350",-900,"364,355"
0,2020.08.21,"15,450",+100,"208,117"
