,date,종가,전일비,거래량
159,2020.01.02,"81,900",-200,215
158,2020.01.03,"82,200",+300,669
157,2020.01.06,"81,900",-300,"1,046"
156,2020.01.07,"81,700",-200,996
155,2020.01.08,"81,300",-400,692
154,2020.01.09,"81,600",+300,706
153,2020.01.10,"81,800",+200,448
152,2020.01.13,"81,600",-200,353
151,2020.01.14,"81,800",+200,367
150,2020.01.15,"81,800",0,272
149,2020.01.16,"81,600",-200,368
148,2020.01.17,"81,500",-100,406
147,2020.01.20,"81,800",+300,798
146,2020.01.21,"81,900",+100,"1,112"
145,2020.01.22,"82,300",+400,850
144,2020.01.23,"83,300","+1,000","1,514"
143,2020.01.28,"82,300","-1,000","4,000"
142,2020.01.29,"86,300","+4,000","57,476"
141,2020.01.30,"83,900","-2,400","5,170"
140,2020.01.31,"82,300","-1,600","3,819"
139,2020.02.03,"82,600",+300,"3,027"
138,2020.02.04,"81,900",-700,"1,763"
137,2020.02.05,"82,900","+1,000","3,397"
136,2020.02.06,"86,800","+3,900","21,588"
135,2020.02.07,"84,400","-2,400","8,828"
134,2020.02.10,"83,100","-1,300","2,488"
133,2020.02.11,"84,100","+1,000","2,897"
132,2020.02.12,"82,600","-1,500","2,451"
131,2020.02.13,"83,800","+1,200","2,806"
130,2020.02.14,"83,100",-700,"1,559"
129,2020.02.17,"83,600",+500,"1,943"
128,2020.02.18,"84,900","+1,300","58,707"
127,2020.02.19,"85,800",+900,"7,000"
126,2020.02.20,"87,500","+1,700","3,522"
125,2020.02.21,"94,200","+6,700","14,123"
124,2020.02.24,"93,000","-1,200","78,857"
123,2020.02.25,"85,900","-7,100","15,003"
122,2020.02.26,"88,900","+3,000","30,097"
121,2020.02.27,"87,000","-1,900","8,970"
120,2020.02.28,"93,600","+6,600","192,133"
119,2020.03.02,"91,200","-2,400","44,031"
118,2020.03.03,"91,200",0,"20,275"
117,2020.03.04,"90,400",-800,"49,485"
116,2020.03.05,"89,200","-1,200","11,315"
115,2020.03.06,"89,900",+700,"10,727"
114,2020.03.09,"89,400",-500,"9,092"
113,2020.03.10,"84,900","-4,500","10,400"
112,2020.03.11,"84,000",-900,"11,291"
111,2020.03.12,"84,000",0,"6,763"
