,date,종가,전일비,거래량
159,2020.01.02,"22,850",+300,"68,627"
158,2020.01.03,"22,650",-200,"46,055"
157,2020.01.06,"21,850",-800,"57,438"
156,2020.01.07,"22,000",+150,"38,170"
155,2020.01.08,"20,650","-1,350","113,448"
154,2020.01.09,"21,350",+700,"58,620"
153,2020.01.10,"21,250",-100,"41,249"
152,2020.01.13,"21,250",0,"41,474"
151,2020.01.14,"21,250",0,"43,918"
150,2020.01.15,"21,150",-100,"34,218"
149,2020.01.16,"21,100",-50,"26,976"
148,2020.01.17,"20,850",-250,"43,028"
147,2020.01.20,"21,050",+200,"49,620"
146,2020.01.21,"21,200",+150,"43,353"
145,2020.01.22,"22,000",+800,"131,890"
144,2020.01.23,"24,550","+2,550","1,958,268"
143,2020.01.28,"27,750","+3,200","1,191,175"
142,2020.01.29,"25,250","-2,500","417,278"
141,2020.01.30,"24,300",-950,"235,418"
140,2020.01.31,"24,050",-250,"234,981"
139,2020.02.03,"22,800","-1,250","249,541"
138,2020.02.04,"22,950",+150,"137,197"
137,2020.02.05,"23,250",+300,"165,202"
136,2020.02.06,"23,700",+450,"118,419"
135,2020.02.07,"23,900",+200,"90,716"
134,2020.02.10,"23,200",-700,"81,437"
133,2020.02.11,"22,900",-300,"95,394"
132,2020.02.12,"22,650",-250,"84,116"
131,2020.02.13,"22,300",-350,"83,202"
130,2020.02.14,"22,200",-100,"60,217"
129,2020.02.17,"22,350",+150,"58,283"
128,2020.02.18,"21,950",-400,"77,921"
127,2020.02.19,"22,400",+450,"91,453"
126,2020.02.20,"22,150",-250,"91,356"
125,2020.02.21,"21,700",-450,"91,482"
124,2020.02.24,"21,100",-600,"328,872"
123,2020.02.25,"21,400",+300,"82,319"
122,2020.02.26,"21,250",-150,"122,025"
121,2020.02.27,"21,400",+150,"103,994"
120,2020.02.28,"20,600",-800,"189,807"
119,2020.03.02,"20,800",+200,"95,655"
118,2020.03.03,"21,400",+600,"100,048"
117,2020.03.04,"21,450",+50,"75,158"
116,2020.03.05,"22,900","+1,450","391,672"
115,2020.03.06,"22,650",-250,"118,969"
114,2020.03.09,"22,400",-250,"156,235"
113,2020.03.10,"23,300",+900,"2,136,467"
112,2020.03.11,"23,000",-300,"443,604"
111,2020.03.12,"22,300",-700,"459,633"
110,2020.03.13,"28,950","+6,650","1,131,191"
109,2020.03.16,"36,450","+7,500","5,835,167"
108,2020.03.17,"35,050","-1,400","5,384,470"
107,2020.03.18,"28,400","-6,650","2,840,053"
106,2020.03.19,"26,800","-1,600","3,226,419"
105,2020.03.20,"27,800","+1,000","3,331,528"
104,2020.03.23,"27,650",-150,"1,914,184"
103,2020.03.24,"28,100",+450,"1,582,935"
102,2020.03.25,"31,350","+3,250","4,826,624"
101,2020.03.26,"31,700",+350,"4,209,825"
100,2020.03.27,"30,300","-1,400","2,659,487"
99,2020.03.30,"33,700","+3,400","2,939,149"
98,2020.03.31,"41,700","+8,000","6,997,802"
97,2020.04.01,"34,500","-7,200","2,554,459"
96,2020.04.02,"34,200",-300,"1,525,776"
95,2020.04.03,"34,750",+550,"1,747,244"
94,2020.04.06,"36,500","+1,750","1,180,269"
93,2020.04.07,"37,200",+700,"2,000,981"
92,2020.04.08,"35,600","-1,600","797,588"
91,2020.04.09,"36,350",+750,"753,811"
90,2020.04.10,"34,900","-1,450","957,035"
89,2020.04.13,"34,350",-550,"438,451"
88,2020.04.14,"35,150",+800,"4,187,473"
87,2020.04.16,"35,700",+550,"1,139,875"
86,2020.04.17,"34,350","-1,350","650,577"
85,2020.04.20,"34,800",+450,"432,931"
84,2020.04.21,"33,900",-900,"577,124"
83,2020.04.22,"33,650",-250,"268,706"
82,2020.04.23,"34,100",+450,"348,676"
81,2020.04.24,"33,000","-1,100","276,507"
80,2020.04.27,"33,900",+900,"1,483,577"
79,2020.04.28,"32,800","-1,100","312,981"
78,2020.04.29,"32,800",0,"238,205"
77,2020.05.04,"31,800","-1,000","204,359"
76,2020.05.06,"31,850",+50,"371,934"
75,2020.05.07,"32,250",+400,"206,867"
74,2020.05.08,"33,400","+1,150","239,435"
73,2020.05.11,"33,250",-150,"154,192"
72,2020.05.12,"33,950",+700,"405,453"
71,2020.05.13,"34,200",+250,"193,233"
70,2020.05.14,"35,300","+1,100","334,934"
69,2020.05.15,"34,250","-1,050","313,862"
68,2020.05.18,"33,800",-450,"314,636"
67,2020.05.19,"32,850",-950,"344,701"
66,2020.05.20,"32,750",-100,"135,607"
65,2020.05.21,"33,200",+450,"436,315"
64,2020.05.22,"32,600",-600,"148,808"
63,2020.05.25,"32,750",+150,"121,578"
62,2020.05.26,"33,400",+650,"666,553"
61,2020.05.27,"32,950",-450,"420,742"
60,2020.05.28,"42,800","+9,850","4,271,598"
59,2020.05.29,"48,000","+5,200","9,783,591"
58,2020.06.01,"48,750",+750,"4,725,912"
57,2020.06.02,"49,150",+400,"1,919,972"
56,2020.06.03,"50,000",+850,"4,062,780"
55,2020.06.04,"50,600",+600,"1,063,005"
54,2020.06.05,"61,000","+10,400","10,271,357"
53,2020.06.08,"79,300","+18,300","8,005,882"
52,2020.06.09,"84,000","+4,700","1,469,281"
51,2020.06.10,"79,500","-4,500","727,034"
50,2020.06.11,"79,700",+200,"668,431"
49,2020.06.12,"68,500","-11,200","2,716,826"
48,2020.06.15,"56,000","-12,500","3,753,636"
47,2020.06.16,"67,500","+11,500","5,476,584"
46,2020.06.17,"67,600",+100,"2,927,522"
45,2020.06.18,"64,300","-3,300","1,277,002"
44,2020.06.19,"61,800","-2,500","1,134,749"
43,2020.06.22,"63,600","+1,800","638,788"
42,2020.06.23,"61,000","-2,600","563,607"
41,2020.06.24,"65,100","+4,100","4,986,376"
40,2020.06.25,"64,700",-400,"1,126,825"
39,2020.06.26,"63,200","-1,500","1,077,693"
38,2020.06.29,"63,800",+600,"1,269,341"
37,2020.06.30,"64,000",+200,"573,162"
36,2020.07.01,"63,600",-400,"967,576"
35,2020.07.02,"63,700",+100,"438,470"
34,2020.07.03,"69,500","+5,800","4,356,176"
33,2020.07.06,"69,500",0,"2,169,350"
32,2020.07.07,"69,700",+200,"1,284,373"
31,2020.07.08,"68,900",-800,"830,593"
30,2020.07.09,"68,600",-300,"589,335"
29,2020.07.10,"66,700","-1,900","1,858,011"
28,2020.07.13,"64,200","-2,500","904,145"
27,2020.07.14,"64,800",+600,"1,301,397"
26,2020.07.15,"63,000","-1,800","495,220"
25,2020.07.16,"60,800","-2,200","549,166"
24,2020.07.17,"69,200","+8,400","14,663,432"
23,2020.07.20,"82,900","+13,700","11,184,362"
22,2020.07.21,"97,600","+14,700","10,205,285"
21,2020.07.22,"96,700",-900,"5,959,767"
20,2020.07.23,"94,000","-2,700","5,268,244"
